1,Item,Page 17-18,Categories,Product Type,Group Components,Feature,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
3983,CM-BK1032-WH,217,Youth,Bunk Bed,,,"Twin/Twin Bunk Bed, White","Furniture of America Rainbow Contemporary Twin/Twin Bunk Bed, White",CN,1,86.5,22,7.3,8,96.8,"79""W X 42""D X 59 1/2""H",Contemporary,,,,Twin/Twin,Rainbow,CM-BK1032-WH.jpg,White,Contemporary Style,Improved Rail Reinforcement,Non-Recycled Heavy Gauge Tubing,Full Metal Construction,Attached Ladder On Both Sides,3 Design Options,Available in 6 Colors,,,,This contemporary style twin/twin bunk bed is available in six different colors for an added personalization. Features include a full metal construction along with a ladder on both sides of the bed.  - -
3986,CM-BK1033-AG-BED,217,Youth,Bunk Bed,"CM-BK1033-AG-1, CM-BK1033-AG-2",,"Twin/Full Bunk Bed, Green","Furniture of America Rainbow Contemporary Twin/Full Bunk Bed, Green",,2,0,0,0,8.4,109.5,"79""W X 56 3/4""D X 59 1/2""H",Contemporary,,,,Twin/Full,Rainbow,CM-BK1033-AG.jpg,Green,Contemporary Style,Improved Rail Reinforcement,Non-Recycled Heavy Gauge Tubing,Full Metal Construction,Attached Ladder On Both Sides,3 Design Options,Available in 6 Colors,,,,"Looking for full size comfort in a bunk bed? This twin/full base combo bunk bed provides both size and space for added comfort. Available in six colors, there is a bunk bed design for everyone. - -"
3989,CM-BK1033-BK-BED,217,Youth,Bunk Bed,"CM-BK1033-BK-1, CM-BK1033-BK-2",,"Twin/Full Bunk Bed, Black","Furniture of America Rainbow Contemporary Twin/Full Bunk Bed, Black",,2,0,0,0,8.4,109.5,"79""W X 56 3/4""D X 59 1/2""H",Contemporary,,,,Twin/Full,Rainbow,CM-BK1033-BK.jpg,Black,Contemporary Style,Improved Rail Reinforcement,Non-Recycled Heavy Gauge Tubing,Full Metal Construction,Attached Ladder On Both Sides,3 Design Options,Available in 6 Colors,,,,"Looking for full size comfort in a bunk bed? This twin/full base combo bunk bed provides both size and space for added comfort. Available in six colors, there is a bunk bed design for everyone. - -"
3995,CM-BK1033-RD-BED,217,Youth,Bunk Bed,"CM-BK1033-RD-1, CM-BK1033-RD-2",,"Twin/Full Bunk Bed, Red","Furniture of America Rainbow Contemporary Twin/Full Bunk Bed, Red",,2,0,0,0,8.4,109.5,"79""W X 56 3/4""D X 59 1/2""H",Contemporary,,,,Twin/Full,Rainbow,CM-BK1033-RD.jpg,Red,Contemporary Style,Improved Rail Reinforcement,Non-Recycled Heavy Gauge Tubing,Full Metal Construction,Attached Ladder On Both Sides,3 Design Options,Available in 6 Colors,,,,"Looking for full size comfort in a bunk bed? This twin/full base combo bunk bed provides both size and space for added comfort. Available in six colors, there is a bunk bed design for everyone. - -"
3998,CM-BK1033-SV-BED,217,Youth,Bunk Bed,"CM-BK1033-SV-1, CM-BK1033-SV-2",,"Twin/Full Bunk Bed, Silver","Furniture of America Rainbow Contemporary Twin/Full Bunk Bed, Silver",,2,0,0,0,8.4,109.5,"79""W X 56 3/4""D X 59 1/2""H",Contemporary,,,,Twin/Full,Rainbow,CM-BK1033-SV.jpg,Silver,Contemporary Style,Improved Rail Reinforcement,Non-Recycled Heavy Gauge Tubing,Full Metal Construction,Attached Ladder On Both Sides,3 Design Options,Available in 6 Colors,,,,"Looking for full size comfort in a bunk bed? This twin/full base combo bunk bed provides both size and space for added comfort. Available in six colors, there is a bunk bed design for everyone. - -"
4001,CM-BK1033-WH-BED,217,Youth,Bunk Bed,"CM-BK1033-WH-1, CM-BK1033-WH-2",,"Twin/Full Bunk Bed, White","Furniture of America Rainbow Contemporary Twin/Full Bunk Bed, White",,2,0,0,0,8.4,109.5,"79""W X 56 3/4""D X 59 1/2""H",Contemporary,,,,Twin/Full,Rainbow,CM-BK1033-WH.jpg,White,Contemporary Style,Improved Rail Reinforcement,Non-Recycled Heavy Gauge Tubing,Full Metal Construction,Attached Ladder On Both Sides,3 Design Options,Available in 6 Colors,,,,"Looking for full size comfort in a bunk bed? This twin/full base combo bunk bed provides both size and space for added comfort. Available in six colors, there is a bunk bed design for everyone. - -"
3936,CM-BK1036GM-BED,209,Youth,Bunk Bed,"CM-BK1036GM-1, CM-BK1036GM-2",,"Full/Full Bunk Bed, Gun Metal","Furniture of America Lexis Contemporary Full/Full Bunk Bed, Gun Metal",,2,0,0,0,36.3,224.2,"82""L X 60 3/4""W X 65""H",Contemporary,,,,Full/Full,Lexis,CM-BK1036GM.jpg,Gun Metal,Full Metal Construction,X-Shape Ladder,Metal Upper Safety Rails,Available in 2 Colors,,,,,,,"Strikingly unique, this bunk bed is as beautiful as it is functional. The upper bed has safety rails, and the horizontal bars in between two curved metal posts also act as an access ladder to the top bunk. - -"
3930,CM-BK1037F,208,Youth,Bunk Bed,,,Full/Full Bunk Bed,Furniture of America Lovia Contemporary Full/Full Bunk Bed,CN,1,75.5,61.5,8.5,22.8,147.4,"79 3/8""L X 58""W X 65""H",Contemporary,,,,Full/Full,Lovia,CM-BK1037F.jpg,Metallic Gold,Contemporary Style,Full Metal Construction,Movable Ladder,Metallic Gold,Available in 3 Types,,,,,,"Full metal construction, clean straight lines, and a metallic gold finish give this bunk bed set a great, contemporary look. Beyond its looks, the versatility it offers is also unmatched. It comes with a movable ladder for convenient access to the to p bunk, while bed posts are separable and may be converted into two separate beds. With three sizes available, this is a bunk bed full of possibilities. -"
3931,CM-BK1037T,208,Youth,Bunk Bed,,,Twin/Twin Bunk Bed,Furniture of America Lovia Contemporary Twin/Twin Bunk Bed,CN,1,75.8,46.3,8.8,17.7,129,"79 3/8""L X 43""W X 65""H",Contemporary,,,,Twin/Twin,Lovia,CM-BK1037T.jpg,Metallic Gold,Contemporary Style,Full Metal Construction,Movable Ladder,Metallic Gold,Available in 3 Types,,,,,,"Full metal construction, clean straight lines, and a metallic gold finish give this bunk bed set a great, contemporary look. Beyond its looks, the versatility it offers is also unmatched. It comes with a movable ladder for convenient access to the to p bunk, while bed posts are separable and may be converted into two separate beds. With three sizes available, this is a bunk bed full of possibilities. -"
3932,CM-BK1037TF,208,Youth,Bunk Bed,,,Twin/Full Bunk Bed,Furniture of America Lovia Contemporary Twin/Full Bunk Bed,CN,1,75.5,62.3,9,24.5,144.32,"79 3/8""L X 57 1/8""W X 65 1/8""H",Contemporary,,,,Twin/Full,Lovia,CM-BK1037TF.jpg,Metallic Gold,Contemporary Style,Full Metal Construction,Movable Ladder,Metallic Gold,Available in 3 Types,,,,,,"Full metal construction, clean straight lines, and a metallic gold finish give this bunk bed set a great, contemporary look. Beyond its looks, the versatility it offers is also unmatched. It comes with a movable ladder for convenient access to the to p bunk, while bed posts are separable and may be converted into two separate beds. With three sizes available, this is a bunk bed full of possibilities. -"
3864,CM-BK1038PK-BED,198,Youth,Bunk Bed,"CM-BK1038PK-1, CM-BK1038PK-2",,"Twin/Twin Bunk Bed, Pink","Furniture of America Lambert Contemporary Twin/Twin Bunk Bed, Pink",,2,0,0,0,19.4,172.48,"78""W X 42 (UP TO 56)""D X 70""H",Contemporary,"Metal, Leatherette",,,0,Lambert,CM-BK1038PK.jpg,Pink,Contemporary Style,Attached Ladder,20 Pcs. Slats Top,Built-in Panel w/ USB & Power Outlet,Multi-functional Bunk Bed,Top Bunk Safety Rail,Fold-Down Side Desk,Full Metal Construction,Pink,,Let your little ones play to their heart - -
3867,CM-BK1038SV-BED,198,Youth,Bunk Bed,"CM-BK1038SV-1, CM-BK1038SV-2",,"Twin/Twin Bunk Bed, Silver","Furniture of America Lambert Contemporary Twin/Twin Bunk Bed, Silver",,2,0,0,0,19.4,172.48,"78""W X 42 (UP TO 56)""D X 70""H",Contemporary,"Metal, Leatherette",,,0,Lambert,CM-BK1038SV.jpg,Silver,Contemporary Style,Attached Ladder,20 Pcs. Slats Top,Built-in Panel w/ USB & Power Outlet,Multi-functional Bunk Bed,Top Bunk Safety Rail,Fold-Down Side Desk,Full Metal Construction,Silver,,Let your little ones play to their heart - -
3855,CM-BK1049,197,Youth,Bunk Bed,,,Triple Twin Bunk Bed w/ Desk,Furniture of America BALLARAT Contemporary Triple Twin Bunk Bed w/ Desk,CN,1,79.3,32.8,11.3,16.9,226.2,"119 7/8""L X 79 7/8""W X 65""H",Contemporary,,,,0,BALLARAT,CM-BK1049.jpg,"Gray, Silver",,,,,,,,,,,
3858,CM-BK1050F-BED,197,Youth,Bunk Bed,"CM-BK1050F-1, CM-BK1050F-2",,Full/Full Bunk Bed,Furniture of America OLIVET Contemporary Full/Full Bunk Bed,,2,0,0,0,27.1,328.5,"81 1/4""L X 56 3/8""W X 76 3/4""H",Contemporary,,,,Full,OLIVET,CM-BK1050.jpg,Gun Metal,Contemporary Style,Multi-functional Bunk Bed,Bottom Workstation Converts into Bed,Attached Ladder,Top Guard Rails,Powder Coated,"Wood, Metal & Others*",Gun Metal Finish,,,"Creatively designed and masterfully built, this multi-purpose loft bed features a comfortable sleeping space and convenient workstation. The silver black powder coated frame features a U-shaped design with attached ladders and safety guard rails. Bel ow the top bunk is a marvelous work station that features a spacious table top, bench seats and built-in supplies area. Surprise sleepovers will also no longer be a problem as the bottom station transforms into an extra bed for your unexpected guest! -"
3861,CM-BK1050T-BED,197,Youth,Bunk Bed,"CM-BK1050T-1, CM-BK1050T-2",,Twin/Twin Bunk Bed,Furniture of America OLIVET Contemporary Twin/Twin Bunk Bed,,2,0,0,0,23.4,283.34,"81 1/4""L X 41 3/8""W X 76 3/4""H",Contemporary,,,,Twin,OLIVET,CM-BK1050.jpg,Gun Metal,Contemporary Style,Multi-functional Bunk Bed,Bottom Workstation Converts into Bed,Attached Ladder,Top Guard Rails,Powder Coated,"Wood, Metal & Others*",Gun Metal Finish,,,"Creatively designed and masterfully built, this multi-purpose loft bed features a comfortable sleeping space and convenient workstation. The silver black powder coated frame features a U-shaped design with attached ladders and safety guard rails. Bel ow the top bunk is a marvelous work station that features a spacious table top, bench seats and built-in supplies area. Surprise sleepovers will also no longer be a problem as the bottom station transforms into an extra bed for your unexpected guest! -"
3945,CM-BK1133BK-BED,211,Youth,Bunk Bed,"CM-BK1133BK-1, CM-BK1133BK-2",,"Twin/Queen Bunk Bed, Black","Furniture of America Rainbow Contemporary Twin/Queen Bunk Bed, Black",,2,0,0,0,16,122.5,"83""W X 62 3/4""D X 60""H",Contemporary,Metal,,,0,Rainbow,CM-BK1133BK.jpg,Black,Contemporary Style,Full Metal Construction,Improved Rail Reinforcement,Non-Recycled Heavy Gauge Tubing,Black,,,,,,"There is a spectrum of choices for colors and styles in the RAINBOW COLLECTION. The Rainbow Collection is a series of metal bunk beds that come in multiple bed size combinations and six color options. Styles include: twin/twin, twin/full, twin/futon  base, and a new twin/queen combo -"
3948,CM-BK1133SV-BED,211,Youth,Bunk Bed,"CM-BK1133SV-1, CM-BK1133SV-2",,"Twin/Queen Bunk Bed, Silver","Furniture of America Rainbow Contemporary Twin/Queen Bunk Bed, Silver",,2,0,0,0,16,122.5,"83""W X 62 3/4""D X 60""H",Contemporary,Metal,,,0,Rainbow,CM-BK1133SV.jpg,Silver,Contemporary Style,Full Metal Construction,Improved Rail Reinforcement,Non-Recycled Heavy Gauge Tubing,Silver,,,,,,"There is a spectrum of choices for colors and styles in the RAINBOW COLLECTION. The Rainbow Collection is a series of metal bunk beds that come in multiple bed size combinations and six color options. Styles include: twin/twin, twin/full, twin/futon  base, and a new twin/queen combo -"
3951,CM-BK1133WH-BED,211,Youth,Bunk Bed,"CM-BK1133WH-1, CM-BK1133WH-2",,"Twin/Queen Bunk Bed, White","Furniture of America Rainbow Contemporary Twin/Queen Bunk Bed, White",,2,0,0,0,16,122.5,"83""W X 62 3/4""D X 60""H",Contemporary,Metal,,,0,Rainbow,CM-BK1133WH.jpg,White,Contemporary Style,Full Metal Construction,Improved Rail Reinforcement,Non-Recycled Heavy Gauge Tubing,White,,,,,,"There is a spectrum of choices for colors and styles in the RAINBOW COLLECTION. The Rainbow Collection is a series of metal bunk beds that come in multiple bed size combinations and six color options. Styles include: twin/twin, twin/full, twin/futon  base, and a new twin/queen combo -"
4373,CM-BK119-BED,244,Youth,Bunk Bed,"CM-BK119-1, CM-BK119-2",,Twin/Twin Bunk Bed,Furniture of America Isabella III Novelty Twin/Twin Bunk Bed,,2,0,0,0,16.8,195.5,"80""L X 43""W X 72""H",Novelty,,,,Twin/Twin,Isabella III,CM-BK119.jpg,White,Flower & Heart Motif,14 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer & Others",White Finish,,,,,,,"Accented with a heart design, this young girl's bunk bed has a twin trundle and attached ladder for an easy climb to the top bunk. - -"
4076,CM-BK147-BED,223,Youth,Bunk Bed,"CM-BK147-1, CM-BK147-2, CM-BK147-3",,Twin/Twin Bookcase Bunk Bed,Furniture of America Hayden Transitional Twin/Twin Bookcase Bunk Bed,,3,0,0,0,23,232.1,"80 1/4""L X 41 3/4""W X 73 1/2""H",Transitional,,,,Twin/Twin,Hayden,CM-BK147.jpg,Dark Walnut,Desk w/ Bookcases,14 Pc. Slats Top & Bottom,Espresso Finish,Angled Ladder,"Solid Wood, Wood Veneer & Others",,,,,,"Perfect for any young student, this twin loft bed has a sturdy design with a built-in workstation and handy book shelves. Finished in espresso, the loft bed can be accessed by an angled ladder and provides support for the twin bed. - -"
4414,CM-BK358EXP-BED,248,Youth,Bunk Bed,"CM-BK358EXP-1, CM-BK358EXP-2",,"Twin/Full Bunk Bed, Dark Walnut Finish","Furniture of America Arizona Transitional Twin/Full Bunk Bed, Dark Walnut Finish",,2,0,0,0,11.3,127.6,"76 1/2""L X 60""W X 61""H",Transitional,,,,Twin/Full,Arizona,CM-BK358EXP.jpg,Dark Walnut,Ladder On Both Sides,"Solid Wood, Wood Veneer & Others",6 Pc. Slats Top & Bottom,Available in 2 Finishes,,,,,,,"Perfect for sleep overs, this twin over full bunk bed has an optional twin trundle, easy access attached ladder on both sides and is finished in dark walnut or oak. - -"
4417,CM-BK358OAK-BED,248,Youth,Bunk Bed,"CM-BK358OAK-1, CM-BK358OAK-2",,"Twin/Full Bunk Bed, Oak Finish","Furniture of America Arizona Transitional Twin/Full Bunk Bed, Oak Finish",,2,0,0,0,11.3,127.6,"76 1/2""L X 60""W X 61""H",Transitional,,,,Twin/Full,Arizona,CM-BK358OAK.jpg,Oak,Ladder On Both Sides,"Solid Wood, Wood Veneer & Others",6 Pc. Slats Top & Bottom,Available in 2 Finishes,,,,,,,"Perfect for sleep overs, this twin over full bunk bed has an optional twin trundle, easy access attached ladder on both sides and is finished in dark walnut or oak. - -"
4086,CM-BK450FF-BED,224,Youth,Bunk Bed,"CM-BK450FF-1, CM-BK450FF-2, CM-BK450FF-3",,Full/Full Bunk Bed,Furniture of America MARCIE Transitional Full/Full Bunk Bed,,3,0,0,0,25.4,230.78,"82 1/4""L X 59 1/8""W X 65""H",Transitional,,,,Full/Full,MARCIE,CM-BK450FF.jpg,Dark Walnut,Transitional Style,Attached Ladder,Top Guard Rails,13 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer, Others*",Dark Walnut Finish,,,,,"From gracing wondrous pink castles to filling wild dinosaur parks, the slatted railing and molded trim details of this youth bunk bed create a classic look fit to decorate any child’s room. The attached ladder and guard rails ensure a safe space for  kids, so whether building an impenetrable blanket fort or stuffed animal paradise, your child will remain safe and secure. -"
