1,Item,Page 17-18,Categories,Product Type,Group Components,Feature,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
4048,CM-BK611EX-BED,221,Youth,Bunk Bed,"CM-BK611EX-1, CM-BK611EX-2, CM-BK611EX-3",,Twin/Full Bunk Bed,Furniture of America Ellington Transitional Twin/Full Bunk Bed,,3,0,0,0,22.4,262,"99 3/4""L X 56 1/2""W X 65""H",Transitional,,,,Twin/Full,Ellington,CM-BK611EX.jpg,Dark Walnut,Built-In Drawers & Front Access Steps,"Solid Wood, Wood Veneer & Others",14 Pc. Slats Top & Bottom,Dark Walnut Finish,,,,,,,Built-in steps provide easy access to the upper bunk of this twin over full bunk bed. The bed also has built in drawers with roomy storage and a slide out trundle. Finished in dark walnut. - -
4052,CM-BK612-BED,221,Youth,Bunk Bed,"CM-BK612-1, CM-BK612-2, CM-BK612-3",,Twin/Twin Bunk Bed,Furniture of America Woodridge Transitional Twin/Twin Bunk Bed,,3,0,0,0,15.9,224.84,"98""L X 41 3/4""W X 65""H",Transitional,,,,Twin/Twin,Woodridge,CM-BK612.jpg,Dark Walnut,14 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer & Others",Built-In Steps & Drawers,Dark Walnut Finish,,,,,,,Built-in steps and drawers make this bunk bed a perfect upgrade to your childs bedroom. You have a choice of more storage through a set of optional drawers or an additional twin trundle instead. - -
4358,CM-BK613EX-BED,243,Youth,Bunk Bed,"CM-BK613EX-1, CM-BK613EX-2, CM-BK613EX-3",,"Twin/Twin Bunk Bed, Dark Walnut Finish","Furniture of America Camino Contemporary Twin/Twin Bunk Bed, Dark Walnut Finish",,3,0,0,0,20.1,204.2,"76 3/4""L X 53 5/8""W X 70 7/8""H",Contemporary,,,,Twin/Twin,Camino,CM-BK613EX.jpg,Dark Walnut,Contemporary Style,Shelves On Top & Bottom,Attached Ladder,13 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer & Others",Available in 2 Finishes,,,,,"This is a great bunk bed for any young student. The all-in-one design features a built-in computer desk, lots of storage, book case and twin over twin beds. Built with sturdy solid woods. - -"
4362,CM-BK613WH-BED,243,Youth,Bunk Bed,"CM-BK613WH-1, CM-BK613WH-2, CM-BK613WH-3",,"Twin/Twin Bunk Bed, White Finish","Furniture of America Camino Contemporary Twin/Twin Bunk Bed, White Finish",,3,0,0,0,20.1,204.2,"76 3/4""L X 53 5/8""W X 70 7/8""H",Contemporary,,,,Twin/Twin,Camino,CM-BK613WH.jpg,White,Contemporary Style,Shelves On Top & Bottom,Attached Ladder,13 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer & Others",Available in 2 Finishes,,,,,"This is a great bunk bed for any young student. The all-in-one design features a built-in computer desk, lots of storage, book case and twin over twin beds. Built with sturdy solid woods. - -"
4291,CM-BK614-BED,238,Youth,Bunk Bed,"CM-BK614-1, CM-BK614-2, CM-BK614-3",,Twin/Twin Bunk Bed,Furniture of America Aiken Transitional Twin/Twin Bunk Bed,,3,0,0,0,16.2,162.27,"80""L X 42 1/4""W X 66 3/8""H",Transitional,"Solid Wood, Wood Veneer & Others",,,0,Aiken,CM-BK614.jpg,Gray,Contemporary Style,Angled Ladder,Loft Bed w/ Workstation,13 Pc. Slats Top,Solid Wood/Wood Veneer/Others,Gray Finish,,,,,Simplify your child - -
4194,CM-BK615-BED,231,Youth,Bunk Bed,"CM-BK615-1, CM-BK615-2",,Twin/Twin Bunk Bed,Furniture of America Solpine Transitional Twin/Twin Bunk Bed,,2,0,0,0,12.5,154,"79 1/2""L X 42 1/4""W X 63 3/4""H",Transitional,,,,Twin/Twin,Solpine,CM-BK615.jpg,Dark Blue,Bold & Sturdy Structure,Attached Ladder,"Solid Wood, Wood Veneer & Others",Curved Wood Design,14 Pc. Slats Top & Bottom,Oak Finish,,,,,"With a more colorful alternative to the common finishes, this twin bunk bed is finished in a unique dark blue color. Simple straight lines and a movable angled ladder completes this brilliant setup and gives it a personality of its own. - -"
4450,CM-BK616-BED,250,Youth,Bunk Bed,"CM-BK616-1, CM-BK616-2, CM-BK616-3",,"Twin/Twin Bunk Bed, Black Finish","Furniture of America Chesapeake Contemporary Twin/Twin Bunk Bed, Black Finish",,3,0,0,0,18.5,204.6,"80 1/2""L X 43 7/8""W X 75 1/8""H",Contemporary,,,,Twin/Twin,Chesapeake,CM-BK616.jpg,Black,Angled Ladder,Optional Drawers,4 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer & Others",Available in 2 Finishes,,,,,,"Simple and classic, this twin over twin bunk bed has curved footboard and headboards, angled ladder to access the top bunk and is finished in a smooth black or bright white. - -"
4455,CM-BK616W-BED,250,Youth,Bunk Bed,"CM-BK616W-1, CM-BK616W-2, CM-BK616W-3",,"Twin/Twin Bunk Bed, White Finish","Furniture of America Chesapeake Contemporary Twin/Twin Bunk Bed, White Finish",,3,0,0,0,18.5,204.6,"80 1/2""L X 43 7/8""W X 75 1/8""H",Contemporary,,,,Twin/Twin,Chesapeake,CM-BK616W.jpg,White,Angled Ladder,Optional Drawers,4 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer & Others",Available in 2 Finishes,,,,,,"Simple and classic, this twin over twin bunk bed has curved footboard and headboards, angled ladder to access the top bunk and is finished in a smooth black or bright white. - -"
4119,CM-BK618-BED,226,Youth,Bunk Bed,"CM-BK618-1, CM-BK618-2",,"Twin/Full Bunk Bed, Oak","Furniture of America Solpine Transitional Twin/Full Bunk Bed, Oak",,2,0,0,0,17.9,166.1,"80 3/8""L X 56 1/2""W X 70 5/8""H",Transitional,,,,Twin/Full,Solpine,CM-BK618.jpg,Oak,Bold & Sturdy Structure,Attached Ladder,"Solid Wood, Wood Veneer & Others",Curved Wood Design,14 Pc. Slats Top & Bottom,Oak Finish,,,,,"A unique curved wooden post, along with its curved attached ladder, gives this bunk bed an exotic look. The posts are thick and sturdy, which underscores its bold and solid structure. Finished in classic oak. - -"
4122,CM-BK618EX-BED,226,Youth,Bunk Bed,"CM-BK618EX-1, CM-BK618EX-2",,"Twin/Full Bunk Bed, Dark Walnut","Furniture of America Solpine Transitional Twin/Full Bunk Bed, Dark Walnut",,2,72.3,27,10.3,17.9,166.1,"80 3/8""L X 56 1/2""W X 70 5/8""H",Transitional,,,,Twin/Full Bunk Bed,Solpine,CM-BK618EX.jpg,Espresso,Bold & Sturdy Structure,14 Pc. Slats Top & Bottom,Curved Wood Design,"Solid Wood, Wood Veneer, Others",Available in 2 Finishes,,,,,,"A unique curved wooden post, along with its curved attached ladder, gives this bunk bed an exotic look. The posts are thick and sturdy, which underscores its bold and solid structure. - -"
4124,CM-BK618GY-BED,226,Youth,Bunk Bed,"CM-BK618GY-1, CM-BK618GY-2",,"Twin/Full Bunk Bed, Gray","Furniture of America SOLPINE Transitional Twin/Full Bunk Bed, Gray",,2,0,0,0,18,204.6,,Transitional,,,,Twin/Full Bunk Bed,SOLPINE,CM-BK618T-GY.jpg,Gray,,,,,,,,,,,
4127,CM-BK618T-A-BED,226,Youth,Bunk Bed,"CM-BK618T-A-1, CM-BK618T-A-2",,"Twin/Twin Bunk Bed, Oak","Furniture of America SOLPINE Transitional Twin/Twin Bunk Bed, Oak",,2,0,0,0,11.3,189.56,"80 1/4""L X 41 7/8""W X 70 1/2""H",Transitional,,,,0,SOLPINE,CM-BK618T-A.jpg,Oak,Transitional Style,Secure Top Guard Rails,14 Pc. Slats Top & Bottom,Attached Ladder,"Solid Wood, Wood Veneer, Others*",Oak,,,,,"A unique curved wooden post, along with its curved attached ladder, gives this bunk bed an exotic look. The posts are thick and sturdy, which underscores its bold and solid structure. - -"
4130,CM-BK618T-EX-BED,226,Youth,Bunk Bed,"CM-BK618T-EX-1, CM-BK618T-EX-2",,"Twin/Twin Bunk Bed, Espresso","Furniture of America SOLPINE Transitional Twin/Twin Bunk Bed, Espresso",,2,0,0,0,11.3,189.56,"80 1/4""L X 41 7/8""W X 70 1/2""H",Transitional,,,,0,SOLPINE,CM-BK618T-EX.jpg,Dark Walnut,Transitional Style,Secure Top Guard Rails,14 Pc. Slats Top & Bottom,Attached Ladder,"Solid Wood, Wood Veneer, Others*",Dark Walnut,,,,,"A unique curved wooden post, along with its curved attached ladder, gives this bunk bed an exotic look. The posts are thick and sturdy, which underscores its bold and solid structure. - -"
4133,CM-BK618T-GY-BED,226,Youth,Bunk Bed,"CM-BK618T-GY-1, CM-BK618T-GY-2",,"Twin/Twin Bunk Bed, Gray","Furniture of America SOLPINE Transitional Twin/Twin Bunk Bed, Gray",,2,0,0,0,11.3,189.56,"80 1/4""L X 41 7/8""W X 70 1/2""H",Transitional,,,,0,SOLPINE,CM-BK618T-GY.jpg,Gray,Transitional Style,Secure Top Guard Rails,14 Pc. Slats Top & Bottom,Attached Ladder,"Solid Wood, Wood Veneer, Others*",Gray,,,,,"A unique curved wooden post, along with its curved attached ladder, gives this bunk bed an exotic look. The posts are thick and sturdy, which underscores its bold and solid structure. - -"
4028,CM-BK626-BED,219,Youth,Bunk Bed,"CM-BK626-1, CM-BK626-2, CM-BK626-3, CM-BK626-4",,Twin/Twin/Twin Bunk Bed,Furniture of America RANFORD Transitional Twin/Twin/Twin Bunk Bed,,4,0,0,0,27.5,253.7,"124 5/8""L X 80 1/4""W X 56""H",Transitional,,,,Twin/Twin/Twin Bunk Bed,RANFORD,CM-BK626.jpg,Espresso,Transitional Style,3 Beds,Attached Ladder,Corner Design,13 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer, Others",Espresso Finish,,,,"For the growing family, this corner bunk bed is a fun and space-saving design that can easily accommodate multiple guests. Each twin-size bed is configured with a mattress ready slat kit and fence styles panels to ensure ease of convenience and safet y. Make the most of your little ones' room or keep guests off the floor. -"
4294,CM-BK627-BED,238,Youth,Bunk Bed,"CM-BK627-1, CM-BK627-2",,Twin/Twin Bunk Bed,Furniture of America Cassie Transitional Twin/Twin Bunk Bed,,2,0,0,0,8.6,158,"78 3/8""L X 41 3/4""W X 60""H",Transitional,"Solid Wood, Wood Veneer & Others",,,0,Cassie,CM-BK627.jpg,White,Contemporary Style,13 Pcs. Slats Top & Bottom,Solid Wood/Wood Veneer/Others,Attached Ladder,Top Bunk Safety Rail,White Finish,,,,,"Sleek, simple and subtle, this is a no-fuss addition to any spaceconscious kid - -"
4199,CM-BK629-BED,231,Youth,Bunk Bed,"CM-BK629-1, CM-BK629-2, CM-BK629-3, CM-BK629-4",,"Twin/Full Bunk Bed, White & Blue","Furniture of America NAUTIA Novelty Twin/Full Bunk Bed, White & Blue",,4,0,0,0,15,195.03,"78 1/8""L X 58 1/8""W X 63""H",Novelty,,,,Twin/Full Bunk Bed,NAUTIA,CM-BK629.jpg,"Blue, White",Nautical Style,Attached Angled Ladder,Anchor Decals & Ship Window Cut-Outs,13 Pc. Slats Top & Bottom,Matching Trundle Available,"Solid Wood, Wood Veneer, Others",Blue & White Finish,,,,Anchor in some nautical fun with this twin over full bunk bed and matching trundle. The bold two-tone coloring enhances the porthole cut-outs and anchor accent decals. Both bunks come equipped with their own slat kit and are connected by the angled a ttached ladder. Go ahead and kiss your little sailors goodnight and let their dreams set sail. -
4186,CM-BK717-BED,230,Youth,Bunk Bed,"CM-BK717-1, CM-BK717-2, CM-BK717-3, CM-BK717-4",,Twin/Twin Bunk Bed,Furniture of America Beatrice Transitional Twin/Twin Bunk Bed,,4,0,0,0,24.7,253,"80 1/4""L X 42 1/2""W X 67 1/2""H",Transitional,"Linen-like Fabric, Solid Wood, Wood Veneer & Others",,,0,Beatrice,CM-BK717.jpg,Champagne,Contemporary Style,Attached Ladder,Solid Wood/Wood Veneer/Others,13 Pc. Slats Top & Bottom,Button Tufted Fabric H/B & F/B,Champagne Finish,,,,,Guide your kids into a life of the rich and famous starting with this one-of-a-kind bunk bed. The sleek champagne finish draws attention to the button tufted light gray fabric adorning each headboard and footboard. An attached ladder provides easy ac cess to the top bunk while slatted guard rails provide peace of mind. -
4191,CM-BK718-BED,230,Youth,Bunk Bed,"CM-BK718-1, CM-BK718-2, CM-BK718-3, CM-BK718-4",,Twin/Twin Bunk Bed,Furniture of America Sascha Transitional Twin/Twin Bunk Bed,,4,0,0,0,35.2,306.9,"85 3/4""L X 41 3/4""W X 76""H",Transitional,"Linen-like Fabric, Solid Wood, Wood Veneer & Others",,,0,Sascha,CM-BK718.jpg,Gray,Contemporary Style,Attached Ladder,Padded Linen-like Fabric,Nailhead Trim,13 Pc. Slats Top & Bottom,Button Tufted Sides,Solid Wood/Wood Veneer/Others,Gray Finish,,,"Here's a twin over twin bunk bed that's not only comfortable, but also stylish! The light gray linenlike fabric can be found along the entire frame while rolled ends and nail heads create a sense of grace and charm. The kids will love playing royalty  in this padded button-tufted piece! -"
4137,CM-BK901BL-BED,227,Youth,Bunk Bed,"CM-BK901BL-1, CM-BK901BL-2, CM-BK901BL-3",,"Twin/Twin Bunk Bed, Blue","Furniture of America GLENDALE Transitional Twin/Twin Bunk Bed, Blue",,3,0,0,0,12.8,180.38,"78 3/8""L X 42""W X 65""H",Transitional,,,,0,GLENDALE,CM-BK901BL.jpg,Blue,Transitional Style,Drawing Board on Both Sides,Attached Ladder,Top Guard Rails,13 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer, Others*",Blue,,,,"An innovative design with kid’s love of fun in mind, this contemporary style bunk bed features drawing boards that will let creativity thrive and imaginations soar. With fence style guard rails and a handy attached ladder, your child can safely sleep , play, climb and more in absolute confidence. -"
4141,CM-BK901EX-BED,227,Youth,Bunk Bed,"CM-BK901EX-1, CM-BK901EX-2, CM-BK901EX-3",,"Twin/Twin Bunk Bed, Dark Walnut","Furniture of America GLENDALE Transitional Twin/Twin Bunk Bed, Dark Walnut",,3,0,0,0,12.8,180.38,"78 3/8""L X 42""W X 65""H",Transitional,,,,0,GLENDALE,CM-BK901EX.jpg,Dark Walnut,Transitional Style,Drawing Board on Both Sides,Attached Ladder,Top Guard Rails,13 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer, Others*",Dark Walnut,,,,"An innovative design with kid’s love of fun in mind, this contemporary style bunk bed features drawing boards that will let creativity thrive and imaginations soar. With fence style guard rails and a handy attached ladder, your child can safely sleep , play, climb and more in absolute confidence. -"
4468,CM-BK903CH-BED,251,Youth,Bunk Bed,"CM-BK903CH-1, CM-BK903CH-2",,"Twin/Twin Bunk Bed, Cherry Finish","Furniture of America Rexford Cottage Twin/Twin Bunk Bed, Cherry Finish",,2,0,0,0,8.2,122.3,"79""L X 41 3/4""W X 61 1/4""H",Cottage,,,,Twin/Twin,Rexford,CM-BK903CH.jpg,Cherry,Angled Ladder,6 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer & Others",Available in 2 Finishes,,,,,,,"Simple and sturdy this versatile twin over twin bunk bed has an angled ladder, gently curved headboard and footboards and wood railing for safety on the top bunk. Matching chest, drawers and trundle available. - -"
4471,CM-BK903OAK-BED,251,Youth,Bunk Bed,"CM-BK903OAK-1, CM-BK903OAK-2",,"Twin/Twin Bunk Bed, Oak Finish","Furniture of America Rexford Cottage Twin/Twin Bunk Bed, Oak Finish",,2,0,0,0,8.2,122.3,"79""L X 41 3/4""W X 61 1/4""H",Cottage,,,,Twin/Twin,Rexford,CM-BK903OAK.jpg,Oak,Angled Ladder,6 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer & Others",Available in 2 Finishes,,,,,,,"Simple and sturdy this versatile twin over twin bunk bed has an angled ladder, gently curved headboard and footboards and wood railing for safety on the top bunk. Matching chest, drawers and trundle available. - -"
4023,CM-BK904-BED,218,Youth,Bunk Bed,"CM-BK904-1, CM-BK904-2, CM-BK904-3",,Quadruple Twin Bunk Bed,Furniture of America MARQUETTE Transitional Quadruple Twin Bunk Bed,,3,0,0,0,23.1,249.92,"119 7/8""L X 79 7/8""W X 65""H",Transitional,,,,0,MARQUETTE,CM-BK904.jpg,Dark Walnut,Transitional Style,4 Twin Beds,Attached Ladder,Corner Design,13 Pc. Slats Top & Bottom,Optional Trundle,"Solid Wood, Wood Veneer, Others*",Dark Walnut Finish,,,Host the ultimate slumber party with this multi-level bunk bed that features four twin-size sleeping areas and an attached center ladder. The slatted panels and fence style guard rails are a classic look that go beautifully with the rich dark walnut  finish! -
3875,CM-BK913FF-BED,200,Youth,Bunk Bed,"CM-BK913FF-1, CM-BK913FF-2",,Full/Full Bunk Bed,Furniture of America Olga I Industrial Full/Full Bunk Bed,,2,0,0,0,13.8,132.36,"78 3/4""L X 58 5/8""W X 68 1/8""H",Industrial,Metal,,,Full/Full Bunk Bed,Olga I,CM-BK913FF.jpg,Antique Black,,,,,,,,,,,
3878,CM-BK913FQ-BED,200,Youth,Bunk Bed,"CM-BK913FQ-1, CM-BK913FQ-2",,Full/Queen Bunk Bed,Furniture of America Olga I Industrial Full/Queen Bunk Bed,,2,0,0,0,18,174.68,"82 5/8""L X 64 5/8""W X 68 1/8""H",Industrial,Metal,,,Full/Queen Bunk Bed,Olga I,CM-BK913FQ.jpg,Antique Black,,,,,,,,,,,
3881,CM-BK913QQ-BED,200,Youth,Bunk Bed,"CM-BK913QQ-1, CM-BK913QQ-2",,Queen/Queen Bunk Bed,Furniture of America Olga I Industrial Queen/Queen Bunk Bed,,2,0,0,0,15.2,158.53,"82 5/8""L X 64 5/8""W X 68 1/8""H",Industrial,Metal,,,Queen/Queen Bunk Bed,Olga I,CM-BK913QQ.jpg,Antique Black,,,,,,,,,,,
3887,CM-BK913TF-BED,200,Youth,Bunk Bed,"CM-BK913TF-1, CM-BK913TF-2",,Twin/Full Bunk Bed,Furniture of America Olga I Industrial Twin/Full Bunk Bed,,2,0,0,0,15.3,159.94,"78 3/4""L X 58 5/8""W X 68 1/8""H",Industrial,Metal,,,Twin/Full Bunk Bed,Olga I,CM-BK913TF.jpg,Antique Black,,,,,,,,,,,
3890,CM-BK913TQ-BED,200,Youth,Bunk Bed,"CM-BK913TQ-1, CM-BK913TQ-2",,Twin/Queen Bunk Bed,Furniture of America Olga I Industrial Twin/Queen Bunk Bed,,2,0,0,0,15.6,132.36,"82 5/8""L X 64 5/8""W X 68 1/8""H",Industrial,Metal,,,Twin XL/Queen Bunk Bed,Olga I,CM-BK913TQ.jpg,Antique Black,,,,,,,,,,,
4366,CM-BK921BK-T-BED,243,Youth,Bunk Bed,"CM-BK921BK-T-1, CM-BK921BK-T-2, CM-BK921BK-T-3",,"Twin/Twin Bunk Bed, Black Finish","Furniture of America Merritt Contemporary Twin/Twin Bunk Bed, Black Finish",,3,0,0,0,35,323.4,"93 3/4""L X 42 1/8""W X 44""H",Contemporary,,,,Twin/Twin,Merritt,CM-BK921BK.jpg,Black,Arch Design Side Panels,12 Pc. Slats Top & Bottom,Built-In Drawers & Front Access Step,Available in 2 Colors,,,,,,,This contemporary bunk bed group is finished in white or black and has built in steps to the top bunk and drawers for extra storage. - -
4370,CM-BK921WH-T-BED,243,Youth,Bunk Bed,"CM-BK921WH-T-1, CM-BK921WH-T-2, CM-BK921WH-T-3",,"Twin/Twin Bunk Bed, White Finish","Furniture of America Merritt Contemporary Twin/Twin Bunk Bed, White Finish",,3,0,0,0,35,323.4,"93 3/4""L X 42 1/8""W X 44""H",Contemporary,,,,Twin/Twin,Merritt,CM-BK921WH-T.jpg,White,Arch Design Side Panels,12 Pc. Slats Top & Bottom,Built-In Drawers & Front Access Step,Available in 2 Colors,,,,,,,This contemporary bunk bed group is finished in white or black and has built in steps to the top bunk and drawers for extra storage. - -
4057,CM-BK922F-BED,222,Youth,Bunk Bed,"CM-BK922F-1, CM-BK922F-2, CM-BK922F-3, CM-BK922F-4",,Twin/Full Bunk Bed,Furniture of America Appenzell Cottage Twin/Full Bunk Bed,,4,0,0,0,34.9,259.6,"99""L X 56 3/4""W X 64 3/4""H",Cottage,,,,Twin/Full,Appenzell,CM-BK922F.jpg,White,Built-In Drawers & Front Access Steps,14 Pc. Slats Top & Bottom,Available in 2 Sizes,"Solid Wood, Wood Veneer & Others",White Finish,,,,,,"This multi-functional bunk bed has built-in steps to the top bunk, built-in drawers and is available with a full or twin size lower bunk bed. - -"
4062,CM-BK922F-EX-BED,222,Youth,Bunk Bed,"CM-BK922F-EX-1, CM-BK922F-EX-2, CM-BK922F-EX-3, CM-BK922F-EX-4",,Twin/Full Bunk Bed,Furniture of America APPENZELL Cottage Twin/Full Bunk Bed,,4,0,0,0,36.5,259.6,"99""L X 41 3/4""W X 64 3/4""H",Cottage,,,,Twin XL/Full,APPENZELL,CM-BK922F-EX.jpg,White,14 Pc. Slats Top & Bottom,Built-in Drawers & Front Access Steps,Available in 2 Sizes,"Solid Wood, Wood Veneer & Others",White Finish,,,,,,"This multi-functional bunk bed has built-in steps to the top bunk, built-in drawers and is available with a full or twin size lower bunk bed. Optional twin trundle and drawers are available for more storage. - -"
4067,CM-BK922T-BED,222,Youth,Bunk Bed,"CM-BK922T-1, CM-BK922T-2, CM-BK922T-3, CM-BK922T-4",,Twin/Twin Bunk Bed,Furniture of America Appenzell Cottage Twin/Twin Bunk Bed,,4,0,0,0,32.1,246.4,"99""L X 41 3/4""W X 64 3/4""H",Cottage,,,,Twin/Twin,Appenzell,CM-BK922.jpg,White,Built-In Drawers & Front Access Steps,14 Pc. Slats Top & Bottom,Available in 2 Sizes,"Solid Wood, Wood Veneer & Others",White Finish,,,,,,"This multi-functional bunk bed has built-in steps to the top bunk, built-in drawers and is available with a full or twin size lower bunk bed. - -"
4072,CM-BK922T-EX-BED,222,Youth,Bunk Bed,"CM-BK922T-EX-1, CM-BK922T-EX-2, CM-BK922T-EX-3, CM-BK922T-EX-4",,Twin/Twin Bunk Bed,Furniture of America APPENZELL Cottage Twin/Twin Bunk Bed,,4,0,0,0,33.8,246.4,"99""L X 41 3/4""W X 64 3/4""H",Cottage,,,,Twin/Twin,APPENZELL,CM-BK922T-EX.jpg,Espresso,14 Pc. Slats Top & Bottom,Built-in Drawers & Front Access Steps,Available in 2 Sizes,"Solid Wood, Wood Veneer & Others",White Finish,,,,,,"This multi-functional bunk bed has built-in steps to the top bunk, built-in drawers and is available with a full or twin size lower bunk bed. Optional twin trundle and drawers are available for more storage. - -"
4353,CM-BK923-BED,242,Youth,Bunk Bed,"CM-BK923-1, CM-BK923-2",,Twin/Full Bunk Bed,Furniture of America CANOVA Cottage Twin/Full Bunk Bed,,2,0,0,0,19.2,176,"81 7/8""L X 58 1/8""W X 65 3/8""H",Cottage,,,,0,CANOVA,CM-BK923.jpg,White,Curved Wood Design,Angled Fixed Ladder,14 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer & Others",White Finish,,,,,,A unique curved design makes this otherwise simple bunk bed stand out beautifully. The clean white finish enhances the bold paneled design and easy access fixed ladder. - -
4377,CM-BK925-BED,244,Youth,Bunk Bed,"CM-BK925-1, CM-BK925-2, CM-BK925-3",,Twin/Twin Bunk Bed,Furniture of America CASSIA Cottage Twin/Twin Bunk Bed,,3,0,0,0,19.7,232.6,"81 3/8""L X 42 3/8""W X 74""H",Cottage,,,,0,CASSIA,CM-BK925.jpg,White,Mission Style,Angled Ladder,12 Pc. Slats Top & Bottom,"Solid Wood, Wood Veneer & Others",White Finish,,,,,,"Sturdy wood construction, Mission style slats and a clean white finish provide this bunk bed with a classic country look. The bunk bed also provides versatility with its separable design, allowing this twin over twin bunk to become two individual twi n beds. -"
3940,CM-BK927BSKT-BED,210,Youth,Bunk Bed,"CM-BK927BSKT-1, CM-BK927BSKT-2",,"Full/Full Bunk Bed, Basket Ball","Furniture of America ATHLETE Novelty Full/Full Bunk Bed, Basket Ball",,2,0,0,0,17.3,196.2,"78 3/4""L X 56 3/4""W X 67""H",Novelty,,,,0,ATHLETE,CM-BK926.jpg,Gray,,,,,,,,,,,
4332,CM-BK929BL-BED,241,Youth,Bunk Bed,"CM-BK929BL-1, CM-BK929BL-2",,"Twin/Twin Bunk Bed, Blue Finish","Furniture of America CAMERON Transitional Twin/Twin Bunk Bed, Blue Finish",,2,0,0,0,9.3,148.5,"81 3/8""L X 42 3/8""W X 60""H",Transitional,,,,Twin/Twin,CAMERON,CM-BK929BL.jpg,Blue,,,,,,,,,,,
4335,CM-BK929EX-BED,241,Youth,Bunk Bed,"CM-BK929EX-1, CM-BK929EX-2",,"Twin/Twin Bunk Bed, Espresso Finish","Furniture of America CAMERON Transitional Twin/Twin Bunk Bed, Espresso Finish",,2,0,0,0,9.3,148.5,"81 3/8""L X 42 3/8""W X 60""H",Transitional,,,,Twin/Twin,CAMERON,CM-BK929EX.jpg,Dark Walnut,,,,,,,,,,,
4312,CM-BK929F-BL-BED,240,Youth,Bunk Bed,"CM-BK929F-BL-1, CM-BK929F-BL-2, CM-BK929F-BL-3",,"Full/Full Bunk Bed, Blue","Furniture of America Cameron Transitional Full/Full Bunk Bed, Blue",,3,0,0,0,18.1,223.49,"81 3/8""W X 58""D X 60""H",Transitional,"Solid Wood, Wood Veneer & Others",,,Full/Full,Cameron,CM-BK929F-BL.jpg,Blue,Transitional Style,13 Pc. Slats Top & Bottom,Blue,Attached Ladder,Solid Wood/Wood Veneer/Others,,,,,,This full over full bunk bed can be paired with a versatile trundle and drawer companion underneath and includes an attached ladder for easy access to the upper bed. - -
4316,CM-BK929F-EX-BED,240,Youth,Bunk Bed,"CM-BK929F-EX-1, CM-BK929F-EX-2, CM-BK929F-EX-3",,"Full/Full Bunk Bed, Dark Walnut","Furniture of America Cameron Transitional Full/Full Bunk Bed, Dark Walnut",,3,0,0,0,18.1,223.49,"81 3/8""W X 58""D X 60""H",Transitional,"Solid Wood, Wood Veneer & Others",,,Full/Full,Cameron,CM-BK929F-EX.jpg,Dark Walnut,Transitional Style,13 Pc. Slats Top & Bottom,Dark Walnut,Attached Ladder,Solid Wood/Wood Veneer/Others,,,,,,This full over full bunk bed can be paired with a versatile trundle and drawer companion underneath and includes an attached ladder for easy access to the upper bed. - -
4320,CM-BK929F-GY-BED,240,Youth,Bunk Bed,"CM-BK929F-GY-1, CM-BK929F-GY-2, CM-BK929F-GY-3",,"Full/Full Bunk Bed, Gray","Furniture of America Cameron Transitional Full/Full Bunk Bed, Gray",,3,0,0,0,18.1,223.49,"81 3/8""W X 58""D X 60""H",Transitional,"Solid Wood, Wood Veneer & Others",,,Full/Full,Cameron,CM-BK929F-GY.jpg,Gray,Transitional Style,13 Pc. Slats Top & Bottom,Gray,Attached Ladder,Solid Wood/Wood Veneer/Others,,,,,,This full over full bunk bed can be paired with a versatile trundle and drawer companion underneath and includes an attached ladder for easy access to the upper bed. - -
4324,CM-BK929F-PK-BED,240,Youth,Bunk Bed,"CM-BK929F-PK-1, CM-BK929F-PK-2, CM-BK929F-PK-3",,"Full/Full Bunk Bed, Pink","Furniture of America Cameron Transitional Full/Full Bunk Bed, Pink",,3,0,0,0,18.1,223.49,"81 3/8""W X 58""D X 60""H",Transitional,"Solid Wood, Wood Veneer & Others",,,Full/Full,Cameron,CM-BK929F-PK.jpg,Pink,Transitional Style,13 Pc. Slats Top & Bottom,Pink,Attached Ladder,Solid Wood/Wood Veneer/Others,,,,,,This full over full bunk bed can be paired with a versatile trundle and drawer companion underneath and includes an attached ladder for easy access to the upper bed. - -
