1,Item,Page 17-18,Categories,Product Type,Name,Style,Display Name,Feature,Filter Tag,Short Description,Group Components,Long Description,CTN,Shipping Weight (LB),Product Dimension (Inch),Material,Material %1,Material %2,Size,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
7745,CM-BN6893,871,Living,Chaise,Lakeport,Contemporary,,,Storage,"Storage Chaise, Black Leatherette",,"Furniture of America Lakeport Contemporary Storage Chaise, Black Leatherette",1,77,"62""W X 24 3/4""D X 33 1/4""H",,,,0,CM-BN6893.jpg,Black,Contemporary Style,Under-Seat Storage,Nailhead Trim,Soft & Smooth Fabric,Padded & Button Tufted Seat,Available in Two Options,,,,,"Some accent pieces are meant to grab attention. This bench will certainly do. The curved back and single rolled arm gives it a distinct shape. The red-violet fabric is soft to the touch, and the padded seats are button-tufted, giving a luxurious but  comfortable feel. With nailhead trim bordering the seat edge and arm panel, this one is a definite looker. -"
7746,CM-BN6893RD,871,Living,Chaise,Lakeport,Contemporary,,,Storage,"Storage Chaise, Red Violet Fabric",,"Furniture of America Lakeport Contemporary Storage Chaise, Red Violet Fabric",1,77,"62""W X 24 3/4""D X 33 1/4""H",,100% Polyester,,0,CM-BN6893RD.jpg,Red Violet,Contemporary Style,Under-Seat Storage,Nailhead Trim,Soft & Smooth Fabric,Padded & Button Tufted Seat,Available in Two Options,,,,,"Some accent pieces are meant to grab attention. This bench will certainly do. The curved back and single rolled arm gives it a distinct shape. The red-violet fabric is soft to the touch, and the padded seats are button-tufted, giving a luxurious but  comfortable feel. With nailhead trim bordering the seat edge and arm panel, this one is a definite looker. -"
7747,CM-CE2185BG,871,Living,Chaise,STILLWATER,Contemporary,,,,"Chaise, Beige Fabric",,"Furniture of America STILLWATER Contemporary Chaise, Beige Fabric",1,69.3,"61""W X 25""D X 31 1/2""H (Seat Ht: 19 1/2"", Seat Dp: 53"")",,100% Polyester,,0,CM-CE2185BG.jpg,Beige,Contemporary Style,Linen-like Fabric,Nailhead Trim,Pillow Included,"Solid Wood, Others",Available in 3 Colors,,,,,Add subtle color to your bedroom or living room with this stylishly upholstered chaise. The curved arm adds emphasis to the lengthy structure while nailhead accents pop against the smooth fabric. - -
7748,CM-CE2185GY,871,Living,Chaise,STILLWATER,Contemporary,,,,"Chaise, Gray Fabric",,"Furniture of America STILLWATER Contemporary Chaise, Gray Fabric",1,69.3,"61""W X 25""D X 31 1/2""H (Seat Ht: 19 1/2"", Seat Dp: 53"")",,100% Polyester,,0,CM-CE2185GY.jpg,Gray,Contemporary Style,Linen-like Fabric,Nailhead Trim,Pillow Included,"Solid Wood, Others",Available in 3 Colors,,,,,Add subtle color to your bedroom or living room with this stylishly upholstered chaise. The curved arm adds emphasis to the lengthy structure while nailhead accents pop against the smooth fabric. - -
7749,CM-BN6190BL,872,Living,Bench,DOHENY,Contemporary,,,Storage,"Storage Bench, Blue Finish",,"Furniture of America DOHENY Contemporary Storage Bench, Blue Finish",1,46.9,"54""W X 17 3/4""D X 26 1/4""H (Seat Ht: 17 1/2"", Seat Dp: 17 3/4"")",,100% Polyester,,0,CM-BN6190BL.jpg,Blue,Contemporary Style,Curved Arms & Legs,Fabric Storage Bench,Available in 7 Colors,,,,,,,"Elegant and minimal design defines this beautiful tufted fabric bench with curved arms and under-seat storage. A variety of colors are available, from coastal blue and ivory to our signature World Traveler fabric. - -"
7750,CM-BN6190GY,872,Living,Bench,Doheny,Contemporary,,,Storage,"Storage Bench, Gray",,"Furniture of America Doheny Contemporary Storage Bench, Gray",1,46.9,"54""W X 17 3/4""D X 26 1/4""H (Seat Ht: 17 1/2"", Seat Dp: 17 3/4"")",,100% Polyester,,0,CM-BN6190GY.jpg,Gray,Contemporary Style,Fabric Storage Bench,Curved Arms & Legs,Available in 2 Colors,,,,,,,Elegant and minimal design defines this beautiful tufted fabric bench with curved arms and under-seat storage. Two colors available. - -
7751,CM-BN6190IV,872,Living,Bench,Doheny,Contemporary,,,Storage,"Storage Bench, Ivory",,"Furniture of America Doheny Contemporary Storage Bench, Ivory",1,46.9,"54""W X 17 3/4""D X 26 1/4""H (Seat Ht: 17 1/2"", Seat Dp: 17 3/4"")",,100% Polyester,,0,CM-BN6190IV.jpg,Ivory,Contemporary Style,Fabric Storage Bench,Curved Arms & Legs,Available in 2 Colors,,,,,,,Elegant and minimal design defines this beautiful tufted fabric bench with curved arms and under-seat storage. Two colors available. - -
7752,CM-BN6190WT,872,Living,Bench,DOHENY,Contemporary,,,Storage,"Storage Bench, Wt Fabric",,"Furniture of America DOHENY Contemporary Storage Bench, Wt Fabric",1,46.9,"54""W X 17 3/4""D X 26 1/4""H (Seat Ht: 17 1/2"", Seat Dp: 17 3/4"")",,100% Polyester,,0,CM-BN6190WT.jpg,World Traveler,Contemporary Style,Underseat Storage,Fabric Storage Bench,Available in 7 Colors,,,,,,,"Elegant and minimal design defines this beautiful tufted fabric bench with curved arms and under-seat storage. A variety of colors are available, from coastal blue and ivory to our signature World Traveler fabric. - -"
7753,CM-BN6664,872,Living,Bench,NIKI,Contemporary,,,,Bench,,Furniture of America NIKI Contemporary Bench,1,45.5,"62""W X 20""D X 18""H (Seat Ht: 18"", Seat Dp: 20"")",,,,0,CM-BN6664.jpg,Ivory,Contemporary Style,Padded Linen Fabric,Nailhead Trim,Button Tufted,Caster Wheels,Solid Wood & Others*,Ivory,,,,
7754,CM-BN6665,872,Living,Bench,RITA,Contemporary,,,,Round Bench,,Furniture of America RITA Contemporary Round Bench,1,35.9,"34 3/4""DIA X 18""H (Seat Ht: 18"", Seat Dp: 34 1/2"")",,,,0,CM-BN6665.jpg,Ivory,Contemporary Style,Padded Linen Fabric,Nailhead Trim,Button Tufted,Caster Wheels,Solid Wood & Others*,Ivory,,,,
