1,Item,,Description,Qty Now,Qty Coming in 7 Days,Qty Coming in 30 Days,,,,Cat 15-16,,Cat 16-17,,
351,CM2669GY,,"[DSC : USE CM2669P-GY] SOFA FUTON, GREY FINISH (13-P428)",,,,,,847289057161,.,,.,,D
357,CM2669RD,,"[DSC : USE CM2669P-RD] SOFA FUTON, RED FINISH (13-P428)",,,,,,847289057192,.,,.,,D
360,CM2670-1,,"Sofa Futon seat cushion, Black Pillow (Cal foam) (15-P550)",,,,,,847289073307,.,,.,,D
361,CM2670-2,,Sofa Futon - Metal Frame & Black panel post (15-P550),,,,,,847289082194,.,,.,,D
362,CM2670-PK,,"LEATHERETTE FUTON, 2CTN (15-P550)",,,,,,534,.,,.,,D
363,CM2671BR,,"Sofa Futon w/Brown Leath-aire PU with 1 pcs support leg, Brown finish (15-P540)",,,,,,847289082989,.,,.,,D
364,CM2671MC,,"Futon Sofa in Leath-aire PU (support leg), Mocha finish (15-P540)",,,,,,847289083009,.,,.,,D
366,CM2673,,"Futon Sofa, Red & Pink & White Beige finish (15-P537)",,,,,,847289083047,.,,.,,D
367,CM2674,,"Sofa futon, Dark Blue & White finish (15-P537)",,,,,,847289083054,.,,.,,D
373,CM2677WT,,"Futon Sofa, World Traveler Fabric (17-P728)",16,,,,,847289090830,728,,DSC,,D
374,CM2677WT-CE,,"Chaise, World Traveler Fabric (17-P728)",6,,,,,847289090847,728,,DSC,,D
375,CM2677WT-OT,,"Ottoman, World Traveler Fabric (17-P728)",11,,,,,847289090854,728,,DSC,,D
376,CM2678,,"Sofa Futon w/1 Pc Extra Leg, White Signature Fabric Finish (16-P686)",,,,,,847289091059,DSC,,.,,D
387,CM2702,,"Sofa Futon w/1PC Extra leg, Black Finish (16-P684)",,,,,,847289091028,DSC,,.,,D
388,CM2703BK,,Sofa Futon w/Black PU (15-P536),,,,,,847289096238,.,,.,,D
389,CM2703BR,,Sofa Futon w/Camel PU (15-P536),,,,,,847289098614,.,,.,,D
393,CM2705,,METAL FUTON SOFA FRAME (16-P691),,,,,,847289003403,DSC,,.,,D
394,CM2706BK,,"Futon Sofa (extra support leg), Black Finish (15-P534)",,,,,,847289094838,.,,.,,D
395,CM2706BK-2PC,,"FUTON SOFA + CHAIR, BLACK FINISH (15-P534)",,,,,,563,.,,.,,D
396,CM2706BK-CH,,"Chair (w/ extra Support Leg), Black Finish (15-P534)",,,,,,847289094845,.,,.,,D
397,CM2706RD,,"Futon Sofa w/ Extra Support Leg, Red Finish (15-P534)",,,,,,847289094814,.,,.,,D
398,CM2706RD-2PC,,"FUTON SOFA + CHAIR, RED FINISH (15-P534)",,,,,,566,.,,.,,D
399,CM2706RD-CH,,"Chair w/ Extra Support Leg, Red Finish (15-P534)",,,,,,847289094821,.,,.,,D
400,CM2707BG,,Sofa futon w/ beige flax fabric (16-P687),,,,,,847289007272,DSC,,.,,D
401,CM2707GY,,Sofa futon w/ gray flax fabric (16-P687),,,,,,847289089889,DSC,,.,,D
402,CM2707PR,,Sofa futon w/ purple flax fabric (16-P687),,,,,,847289089872,DSC,,.,,D
