1,Item,,Description,Qty Now,Qty Coming in 7 Days,Qty Coming in 30 Days,,,,Cat 15-16,,Cat 16-17,,
5429,CM6762,,Sofa Bed w/Blue finish (15-P469),,,,,,847289090908,.,,.,,D
5430,CM6771BR-CE,,"Chaise, Brown (17-P709)",,,,,,841403144157,709,,DSC,,D
5431,CM6771BR-RS,,"Love Seat w/ Console, Brown (17-P709)",,,,,,841403144164,709,,DSC,,D
5477,CM6784-CH,,Chair (17-P666),,,,,,841403127907,666,,DSC,,D
5478,CM6784-LV,,Love Seat (17-P666),,,,,,841403127891,666,,DSC,,D
5479,CM6784-SF,,Sofa (17-P666),,,,,,841403127884,666,,DSC,,D
5493,CM6787-CH-1,,Single Back (17-P626),,,,,,841403126573,626,,DSC,,D
5494,CM6787-CH-2,,Single Frame (17-P626),,,,,,841403126580,626,,DSC,,D
5496,CM6787-LV-1,,Loveset Back (17-P626),,,,,,841403126559,626,,DSC,,D
5497,CM6787-LV-2,,Loveset Frame (17-P626),,,,,,841403126566,626,,DSC,,D
5499,CM6787-SF-1,,Sofa Set Back (17-P626),,,,,,841403126535,626,,DSC,,D
5500,CM6787-SF-2,,Sofa Set Frame (17-P626),,,,,,841403126542,626,,DSC,,D
5509,CM6789-CH-1,,Single Chair Back (17-P627),,,,,,841403126634,627,,DSC,,D
5510,CM6789-CH-2,,Singlr Chair Frame (17-P627),,,,,,841403126641,627,,DSC,,D
5512,CM6789-LV-1,,Love Seat Back (17-P627),,,,,,841403126610,627,,DSC,,D
5513,CM6789-LV-2,,Love Seat Frame (17-P627),,,,,,841403126627,627,,DSC,,D
5515,CM6789-SF-1,,Sofa Back (17-P627),,,,,,841403126597,627,,DSC,,D
5516,CM6789-SF-2,,Sofa Frame (17-P627),,,,,,841403126603,627,,DSC,,D
5518,CM6790-CE,,Chaise (17-P613),,,,,,841403124470,613,,DSC,,D
5519,CM6790-CH,,Chair (17-P613),36,,,,,841403124487,613,,DSC,,D
5520,CM6790-LS,,Left Love Seat (17-P613),,,,,,841403124463,613,,DSC,,D
5521,CM6790-OT,,Ottoman (17-P613),,,,,,841403124494,613,,DSC,,D
5531,CM6792-ARM,,2 Pc. Arms (17-P562),,,,,,841403130129,562,,DSC,,D
5532,CM6792-CH-1,,"Chair Seat, Frame, Back (17-P562)",,,,,,841403130112,562,,DSC,,D
5534,CM6792-LV-1,,"Love Seat Seat, Frame, Back (17-P562)",,,,,,841403130105,562,,DSC,,D
5536,CM6792PA-ARM,,2 Pc. Arms (17-P562),,,,,,841403130143,562,,DSC,,D
5537,CM6792PA-BN,,Storage Bench (17-P562),,,,,,841403130150,562,,DSC,,D
5538,CM6792PA-CH-1,,"Chair Seat, Frame, Back (17-P562)",,,,,,841403130136,562,,DSC,,D
5540,CM6792PA-OT,,Storage Ottoman (17-P562),,,,,,841403130167,562,,DSC,,D
5541,CM6792-SF-1,,"Sofa Seat, Frame, Back (17-P562)",,,,,,841403130082,562,,DSC,,D
5542,CM6792-SF-2,,Sofa Back (17-P562),,,,,,841403130099,562,,DSC,,D
5546,CM6793-ARM,,2 Pc. Arms (17-P562),,,,,,841403128249,562,,DSC,,D
5547,CM6793-CH-1,,"Chair Seat, Frame, Back (17-P562)",,,,,,841403128232,562,,DSC,,D
5549,CM6793-LV-1,,"Love Seat Seat, Frame, Back (17-P562)",,,,,,841403128225,562,,DSC,,D
5551,CM6793PA-ARM,,2 Pc. Arms (17-P562),,,,,,841403128256,562,,DSC,,D
5552,CM6793PA-BN,,Storage Bench (17-P562),,,,,,841403128263,562,,DSC,,D
5553,CM6793PA-CH-1,,"Chair Seat, Frame, Back (17-P562)",10,,,,,841403128522,562,,DSC,,D
5555,CM6793PA-OT,,Storage Ottoman (17-P562),,,,,,841403128270,562,,DSC,,D
5556,CM6793-SF-1,,"Sofa Seat, Frame, Back (17-P562)",,,,,,841403128201,562,,DSC,,D
5557,CM6793-SF-2,,Sofa Back (17-P562),,,,,,841403128218,562,,DSC,,D
5561,CM6797-CH,,Chair (17-P606),9,,,,,841403128133,606,,DSC,,D
5562,CM6797-LV,,Love Seat (17-P606),,,,,,841403128126,606,,DSC,,D
5563,CM6797-SF,,Sofa (17-P606),6,,,,,841403128119,606,,DSC,,D
5566,CM6798-CH,,Chair (17-P689),,,,,,841403128829,689,,DSC,,D
5567,CM6798-LV,,Love Seat (17-P689),,,,,,841403128812,689,,DSC,,D
5568,CM6798-SF,,Sofa (17-P689),,,,,,841403128805,689,,DSC,,D
5572,CM6799NV-1,,Left Sofa (17-P589),,,,,,841403122780,589,,DSC,,D
5573,CM6799NV-2,,Right Chaise (17-P589),,,,,,841403122797,589,,DSC,,D
5577,CM6800-CH,,Chair (17-P585),35,,,,,841403127815,585,,DSC,,D
5578,CM6800-LV,,Love Seat (17-P585),8,,,,,841403127808,585,,DSC,,D
5579,CM6800-SF,,Sofa (17-P585),,,,,,841403127792,585,,DSC,,D
5585,CM6808-1,,Left Sofa (17-P655),,,,,,847289089179,655,,DSC,,D
5586,CM6808-2,,Right Sofa (17-P655),,,,,,847289089186,655,,DSC,,D
5592,CM6812ACH,,"Armless Recliner Chair, Black finish (15-P525)",,,,,,847289077930,.,,.,,D
5593,CM6812CS-2PK,,"Console w/Stainless steel Cup Holder *2PCS, Black finish (15-P525)",,,,,,847289077947,.,,.,,D
5594,CM6812LCH,,"Left Arm Recliner Chair, Black finish (15-P525)",,,,,,847289077916,.,,.,,D
5595,CM6812RCH,,"Right Arm Recliner Chair, Black finish (15-P525)",7,,,,,847289077923,.,,.,,D
5596,CM6812-SECTIONAL,,"HOME THEATRE SOFA W/ 3 RECLINERS, BLACK FINISH (15-P525)",,,,,,3670,.,,.,,D
5602,CM6814BK-2PC,,"SOFA + LOVE SEAT, BLACK (15-P506)",,,,,,3678,.,,.,,D
5603,CM6814BK-3PC,,"SOFA + LOVE SEAT + CHAIR, BLACK (15-P506)",,,,,,3679,.,,.,,D
5604,CM6814BK-CH,,"Glider Recliner Chair, Black finish (15-P506)",,,,,,847289082026,.,,.,,D
5605,CM6814BK-LV,,"Two Recliner Loveseat, Black finish (15-P506)",,,,,,847289082019,.,,.,,D
5606,CM6814BK-SF,,"Two Recliner Sofa, Black finish (15-P506)",,,,,,847289082002,.,,.,,D
5612,CM6815-2PC,,SOFA + LOVE SEAT (15-P472),8,,,,,3688,.,,.,,D
5613,CM6815-3PC,,SOFA + LOVE SEAT + CHAIR (15-P472),,,,,,3689,.,,.,,D
5614,CM6815CE,,"Left Chaise, Coffee Brown finish (15-P472)",,,,,,847289081982,.,,.,,D
5615,CM6815CH,,Chair (without Pillow) Coffee Brown finish (15-P472),,,,,,847289081999,.,,.,,D
5616,CM6815LV,,"Right Sofa, Coffee Brown finish (15-P472)",,,,,,847289081975,.,,.,,D
5617,CM6815-LVS,,"Loveseat Included 2Pcs Pillows, Coffee Brown Finish (15-P472)",8,,,,,847289000877,.,,.,,D
5618,CM6815-SCT,,"SECTIONAL, DUCK DOWN (15-P472)",,,,,,3694,.,,.,,D
5619,CM6815-SF,,"Sofa Seat Included 2Pcs Pillows, Coffee Brown Finish (15-P472)",14,,,,,847289000860,.,,.,,D
5625,CM6822AC,,Sectional w/ 1 Recliner + Chaise (17-P697),26,,,,,847289054085,697,,DSC,,D
5636,CM6822CAS,,Left Recliner Chaise (17-P697),19,,,,,847289054078,697,,DSC,,D
5637,CM6822CH,,Right Recliner Chair (17-P697),19,,,,,847289054115,697,,DSC,,D
5638,CM6822CN,,Console Table (17-P697),,,,,,847289054092,697,,DSC,,D
5639,CM6822CR,,Coner Chair (17-P697),32,,,,,847289054108,697,,DSC,,D
5641,CM6822-T,,Wedge (17-P697),,,,,,841403149558,697,,DSC,,D
5643,CM6823-SECTIONAL,,"SECTIONAL, 2 CTN (14-P401)",,,,,,3722,.,,.,,D
5663,CM6829-2PC,,"SOFA + LOVE, BROWN LEATHER-LIKE FABRIC (15-P516)",,,,,,3753,.,,.,,D
5664,CM6829-3PC,,"SOFA + LOVE + CHAIR, BROWN LEATHER-LIKE FABRIC (15-P516)",,,,,,3754,.,,.,,D
5665,CM6829CH,,"Single chair w/1 Recliner - Cal foam, Chocolate finish (15-P516)",,,,,,847289073932,.,,.,,D
5666,CM6829LV,,"Loveseat w/2 Recliner - Cal foam, Chocolate finish (15-P516)",,,,,,847289073925,.,,.,,D
5667,CM6829SF,,"Three seat sofa w/2 Recliner - Cal foam, Chocolate finish (15-P516)",,,,,,847289073918,.,,.,,D
5670,CM6831CH,,Chair (17-P621),,,,,,847289069317,621,,DSC,,D
5671,CM6831LV,,Love Seat (17-P621),,,,,,847289069300,621,,DSC,,D
5672,CM6831SF,,Sofa (17-P621),,,,,,847289069294,621,,DSC,,D
5689,CM6837-1,,Love Seat (17-P613),,,,,,841403127860,613,,DSC,,D
5690,CM6837-2,,"Reversible Chaise, Ottoman, 3 Pc. Back Cushions (17-P613)",,,,,,841403127877,613,,DSC,,D
5696,CM6839-1,,Left Loveset (17-P611),,,,,,841403127914,611,,DSC,,D
5697,CM6839-2,,Right Chaise (17-P611),,,,,,841403127921,611,,DSC,,D
5701,CM6848-CH,,Chair (17-P578),,,,,,841403135131,578,,DSC,,D
5702,CM6848-LV,,Love Seat (17-P578),,,,,,841403135124,578,,DSC,,D
5703,CM6848-SF,,Sofa (17-P578),,,,,,841403135117,578,,DSC,,D
5704,CM6849-1,,Left Sofa Seat (17-P579),,,,,,841403135094,579,,DSC,,D
5705,CM6849-2,,Right Chaise (17-P579),,,,,,841403135100,579,,DSC,,D
5708,CM6850BG-LV,,"Love Seat, Beige (17-P580)",16,,,,,841403137951,580,,DSC,,D
5709,CM6850BG-SF,,"Sofa, Beige (17-P580)",,,,,,841403137944,580,,DSC,,D
5711,CM6850BK-LV,,"Love Seat, Black (17-P581)",79,,,,,841403137913,581,,DSC,,D
5712,CM6850BK-SF,,"Sofa, Black (17-P581)",76,,,,,841403137906,581,,DSC,,D
5714,CM6850GY-LV,,"Love Seat, Gray (17-P581)",38,,,,,841403137937,581,,DSC,,D
5715,CM6850GY-SF,,"Sofa, Gray (17-P581)",38,,,,,841403137920,581,,DSC,,D
5716,CM6851BG-1,,Love Seat 2 Pc. Arms (17-P591),31,,,,,841403138002,591,,DSC,,D
5717,CM6851BG-2,,"Corner Chair, Armless Single Chair (17-P591)",32,,,,,841403138019,591,,DSC,,D
5719,CM6851BK-1,,Love Seat 2 Pc. Arms (17-P591),20,,,,,841403137968,591,,DSC,,D
5720,CM6851BK-2,,"Corner Chair, Armless Single Chair (17-P591)",18,,,,,841403137975,591,,DSC,,D
5722,CM6851GY-1,,Love Seat 2 Pc. Arms (17-P590),50,,,,,841403137982,590,,DSC,,D
5723,CM6851GY-2,,"Corner Chair, Armless Single Chair (17-P590)",52,,,,,841403137999,590,,DSC,,D
5727,CM6852-CH,,Chair (17-P583),23,,,,,841403136794,583,,DSC,,D
5728,CM6852-LV,,Love Seat (17-P583),27,,,,,841403136787,583,,DSC,,D
5729,CM6852-SF,,Sofa (17-P583),32,,,,,841403136770,583,,DSC,,D
5739,CM6854-CH,,Chair (17-P657),7,,,,,841403137739,657,,DSC,,D
5740,CM6854-LV,,Love Seat (17-P657),,,,,,841403137722,657,,DSC,,D
5741,CM6854-SF,,Sofa (17-P657),,,,,,841403137715,657,,DSC,,D
5759,CM6861BG-1,,Left Sofa (17-P573),,,,,,841403102966,573,,DSC,,D
5760,CM6861BG-2,,Right Chaise (17-P573),,,,,,841403102973,573,,DSC,,D
5762,CM6861GY-1,,Left Sofa (17-P573),,,,,,841403102980,573,,DSC,,D
5763,CM6861GY-2,,Right Chaise (17-P573),,,,,,841403102997,573,,DSC,,D
5765,CM6861TL-1,,Left Sofa (17-P572),,,,,,841403103000,572,,DSC,,D
5766,CM6861TL-2,,Right Chaise (17-P572),,,,,,841403103017,572,,DSC,,D
5768,CM6862-CH,,One Arm Chair (17-P611),31,,,,,841403139221,611,,DSC,,D
5769,CM6862-LV,,One Arm Love Seat (17-P611),31,,,,,841403139214,611,,DSC,,D
5770,CM6862-OT,,Ottoman w/Side Table (17-P611),,,,,,841403139238,611,,DSC,,D
5788,CM6866-1,,Right sofa in gray color flannelette (16-P549),,,,,,841403111180,DSC,,.,,D
5789,CM6866-2,,Left chaise in gray color flannelette (16-P549),,,,,,841403111197,DSC,,.,,D
5834,CM6961-CLV,,"Armless Loveseat w/2 Recliner, Brown Finish (16-P655)",11,,,,,847289091905,DSC,,.,,D
5835,CM6961-CT,,"ConSole w/Cup Holder, Brown Finish (16-P655)",,,,,,847289091912,DSC,,.,,D
5836,CM6961-LCH,,"Left Glider Arm Recliner Chair, Brown Finish (16-P655)",,,,,,847289091882,DSC,,.,,D
5837,CM6961-RCH,,"Right Glider Arm Recliner Chair, Brown Finish (16-P655)",,,,,,847289091899,DSC,,.,,D
5839,CM6976-2PC,,SOFA + GLIDER LOVE SEAT (15-P503),,,,,,3805,.,,.,,D
5840,CM6976-3PC,,SOFA + GLIDER LOVE SEAT + POWER-MOTOR RECLINER (15-P503),,,,,,3806,.,,.,,D
5841,CM6976CH,,"Power-Motor Recliner chair in Bonded & PU, Gray (15-P503)",,,,,,847289077909,.,,.,,D
5842,CM6976LV,,"Glider Love Seat w/ bonded & PU w/Console w/ 2 Recliner, Gray (15-P503)",,,,,,847289077893,.,,.,,D
5843,CM6976SF,,"Sofa w/ warm gray bonded & PU w/2 Recliner, Warm gray finish (15-P503)",,,,,,847289077886,.,,.,,D
5846,CM6977BK-CH,,"Chair, Black (17-P588)",,,,,,841403146397,588,,DSC,,D
5847,CM6977BK-LV,,"Love Seat, Black (17-P588)",,,,,,841403146380,588,,DSC,,D
5848,CM6977BK-SF,,"Sofa, Black (17-P588)",,,,,,841403146373,588,,DSC,,D
5885,CM6984-CH,,Recliner (17-P664),,,,,,841403139320,664,,DSC,,D
5886,CM6984-LV,,Love Seat w/ 2 Recliners (17-P664),,,,,,841403139313,664,,DSC,,D
5889,CM6984-PM-CH,,Power-Assist Recliner (17-P664),,,,,,841403146427,664,,DSC,,D
5890,CM6984-PM-LV,,Power-Assist Love Seat (17-P664),,,,,,841403146410,664,,DSC,,D
5891,CM6984-PM-SF,,Power-Assist Sofa (17-P664),,,,,,841403146403,664,,DSC,,D
5892,CM6984-SF,,Sofa w/ 2 Recliners (17-P664),9,,,,,841403139306,664,,DSC,,D
5926,CM7007GY-HB-FQ,,"Full & Queen size bed HB only - KD Leg, Gray finish (15-P123)",,,,,,847289071303,.,,.,,D
5927,CM7007GY-HB-T,,"Twin size bed HB only - KD Leg, Gray finish (15-P123)",,,,,,847289071310,.,,.,,D
5930,CM7007PK-HB-FQ,,"Full & Queen size bed HB only - KD Leg, Pink finish (15-P123)",63,,,,,847289071143,.,,.,,D
5931,CM7007PK-HB-T,,"Twin size bed HB only - KD Leg, Pink finish (15-P123)",15,,,,,847289071150,.,,.,,D
5945,CM7007WH-HB-FQ,,"Full & Queen size bed HB only - KD Leg, White finish (15-P123)",,,,,,847289071228,.,,.,,D
5946,CM7007WH-HB-T,,"Twin size bed HB only - KD Leg, White finish (15-P123)",,,,,,847289071235,.,,.,,D
5950,CM7008CL-HB-FQ,,"Upholstered Full & Queen Size Bed HB Only - KD Leg, Camel PU Finish (15-P122)",9,,,,,847289096870,.,,.,,D
5968,CM7008GF-HB-FQ,,"Upholstered Full & Queen Size Bed HB Only - KD Leg, GRAY FABRIC (15-P96)",69,,,,,847289003854,.,,.,,D
5969,CM7008GF-HB-T,,"Upholstered Twin Size Bed HB Only-KD Leg, GRAY FABRIC (15-P96)",16,,,,,847289003861,.,,.,,D
5988,CM7008GY-HB-FQ,,"Full & Queen size bed HB only - KD Leg, Gray finish (15-P122)",,,,,,847289071266,.,,.,,D
5989,CM7008GY-HB-T,,"Twin size bed HB only - KD Leg, Gray finish (15-P122)",,,,,,847289071273,.,,.,,D
6002,CM7008PK-HB-FQ,,"Full & Queen size bed HB only - KD Leg, Pink finish (15-P122)",7,,,,,847289071105,.,,.,,D
6003,CM7008PK-HB-T,,"Twin size bed HB only - KD Leg, Pink finish (15-P122)",49,,,,,847289071112,.,,.,,D
6025,CM7008WH-HB-FQ,,"Full & Queen Size Bed HB Only - KD Leg, White Finish (17-SUP-P63)",,,,,,847289071181,DSC,,.,,D
6026,CM7008WH-HB-T,,"Twin Size Bed HB Only - KD Leg, White Finish (17-SUP-P63)",42,,,,,847289071198,DSC,,.,,D
6038,CM7008WT-CK-BED,,CAL.KING BED (15-P96),,,,,,4082,.,,.,,D
6039,CM7008WT-CK-FBR,,"Upholstered Cal king Size Bed Footboard & rail, White Finish (15-P96)",,,,,,847289087601,.,,.,,D
6040,CM7008WT-CK-HB,,"Upholstered Cal King Size Bed Headboard, 39 Pcs Slats, White Finish (15-P96)",,,,,,847289087595,.,,.,,D
6041,CM7008WT-EK-BED,,E.KING BED (15-P96),,,,,,4085,.,,.,,D
6042,CM7008WT-EK-FBR,,"Upholstered Eastern King Size Bed Footboard & Rail, White Finish (15-P96)",,,,,,847289087625,.,,.,,D
6043,CM7008WT-EK-HB,,"Upholstered Eastern King Size Bed Headboard,39 Pcs Slats, White Finish (15-P96)",,,,,,847289087618,.,,.,,D
6044,CM7008WT-F-BED,,FULL BED (15-P96),,,,,,4088,.,,.,,D
6045,CM7008WT-F-FBR,,"Upholstered Full Size Bed Footboard & Rail, White Finish (15-P96)",,,,,,847289087663,.,,.,,D
6046,CM7008WT-F-HB,,"Upholstered Full Size Bed Headboard, 26 Pcs Slats, White Finish (15-P96)",10,,,,,847289087656,.,,.,,D
6047,CM7008WT-HB-FQ,,"Upholstered Full & Queen Size Bed HB Only, White Finish (15-P118)",53,,,,,847289096955,.,,.,,D
6048,CM7008WT-HB-T,,"Upholstered Twin Size Bed HB Only -KD Leg, White Finish (15-P118)",54,,,,,847289096962,.,,.,,D
6049,CM7008WT-Q-BED,,QUEEN BED (15-P96),,,,,,4097,.,,.,,D
6050,CM7008WT-Q-FBR,,"Upholstered Queen Size Bed Footboard & Rail, White Finish (15-P96)",,,,,,847289087649,.,,.,,D
6051,CM7008WT-Q-HB,,"Upholstered Queen Size Bed Headboard, 26 Pcs Slats, White Finish (15-P96)",,,,,,847289087632,.,,.,,D
6052,CM7008WT-T-BED,,TWIN BED (15-P96),,,,,,4102,.,,.,,D
6053,CM7008WT-T-FBR,,"Upholstered Twin Size Bed Footboard & Rail & 13 Pcs Slats, White Finish (15-P96)",,,,,,847289087687,.,,.,,D
6054,CM7008WT-T-HB,,"Upholstered Twin Size Bed Headboard, White Finish (15-P96)",,,,,,847289087670,.,,.,,D
6074,CM7010CK-FBR,,CAL.KING PLATFORM BED FB & RAIL (16-P102),102,,,,,847289021742,DSC,,.,,D
6075,CM7010CK-HB,,CAL.KING PLATFORM BED H/B (XY-010) (16-P102),107,,,,,847289021759,DSC,,.,,D
6076,CM7010EK-BED,,E.KING  SIZE PLATFORM H/B +FB + RAIL (2CTN) (16-P102),33,,,,,4128,DSC,,.,,D
6077,CM7010EK-FBR,,E.KING PLATFORM F/B &RAIL (16-P102),35,,,,,847289021766,DSC,,.,,D
6078,CM7010EK-HB,,E.KING PLATFORM H/B (16-P102),33,,,,,847289021773,DSC,,.,,D
6079,CM7010F-BED,,FULL SIZE PLATFORM H/B +FB + RAIL (2CTN) (15-P100),38,,,,,4131,.,,.,,D
6080,CM7010F-FBR,,FULL SIZE PLATFORM BED FB & RAIL (15-P100),38,,,,,847289021780,.,,.,,D
6081,CM7010F-HB,,FULL SIZE PLATFORM BED H/B (15-P100),48,,,,,847289021797,.,,.,,D
6088,CM7010Q-BED,,QUEEN SIZE PLATFORM H/B +FB + RAIL (2CTN) (16-P102),61,,,,,4145,DSC,,.,,D
6089,CM7010Q-FBR,,QUEEN SIZE PLATFORM BED FB & RAIL (16-P102),61,,,,,847289021803,DSC,,.,,D
6090,CM7010Q-HB,,QUEEN SIZE PLATFORM BED H/B (16-P102),69,,,,,847289021810,DSC,,.,,D
6091,CM7010T-BED,,TWIN SIZE PLATFORM H/B +FB + RAIL (2CTN) (15-P100),,,,,,4150,.,,.,,D
6092,CM7010T-FBR,,TWIN SIZE PLATFORM BED FB & RAIL (15-P100),,,,,,847289021827,.,,.,,D
6093,CM7010T-HB,,TWIN SIZE PLATFORM BED H/B (15-P100),7,,,,,847289021834,.,,.,,D
6094,CM7011CK-BED,,C.KING SIZE PLATFORM H/B +FB + RAIL (2CTN) (15-P101),9,,,,,4153,.,,.,,D
6095,CM7011CK-HB+FB,,CAL.KING PLATFORM BED HB+FB (15-P101),9,,,,,847289021841,.,,.,,D
6096,CM7011CK-R,,CAL.KING PLATFORM BED RAIL (15-P101),21,,,,,847289021858,.,,.,,D
6097,CM7011EK-BED,,E.KING SIZE PLATFORM H/B +FB + RAIL (2CTN) (15-P101),8,,,,,4156,.,,.,,D
6098,CM7011EK-HB+FB,,E.KNG PLATFORM BED HB+FB (15-P101),8,,,,,847289021865,.,,.,,D
6099,CM7011EK-R,,E.KING PLATFORM BED RAIL (15-P101),15,,,,,847289021872,.,,.,,D
6100,CM7011F-BED,,FULL SIZE PLATFORM H/B +FB + RAIL (2CTN) (15-P101),,,,,,4159,.,,.,,D
6101,CM7011F-HB+FB,,FULL SIZE PLATFORM BED HB+FB (15-P101),8,,,,,847289021889,.,,.,,D
6102,CM7011F-R,,FULL SIZE PLATFORM BED RAIL (15-P101),,,,,,847289021896,.,,.,,D
6103,CM7011Q-4PC,,QUEEN SIZE BED+DRESSER+MIRROR+1NS (15-P101),,,,,,4164,.,,.,,D
6104,CM7011Q-5PC-2NS,,QUEEN SIZE BED+DRESSER+MIRROR+2NS (15-P101),,,,,,4165,.,,.,,D
6105,CM7011Q-5PC-CHEST,,QUEEN SIZE BED+DRESSER+MIRROR+1NS+CHEST (15-P101),,,,,,4166,.,,.,,D
6106,CM7011Q-7088-4PC,,QUEEN SIZE BED+DRESSER+MIRROR+1NS (15-P101),,,,,,4167,.,,.,,D
6107,CM7011Q-7088-5PC-2NS,,QUEEN SIZE BED+DRESSER+MIRROR+2NS (15-P101),,,,,,4168,.,,.,,D
6108,CM7011Q-7088-5PC-CHE,,QUEEN SIZE BED+DRESSER+MIRROR+1NS+CHEST (15-P101),,,,,,4169,.,,.,,D
6109,CM7011Q-BED,,QUEEN SIZE PLATFORM H/B +FB + RAIL (2CTN) (15-P101),,,,,,4170,.,,.,,D
6110,CM7011Q-HB+FB,,QUEEN SIZE PLATFORM BED HB+FB (15-P101),,,,,,847289021902,.,,.,,D
6111,CM7011Q-R,,QUEEN SIZE PLATFORM BED  RAIL (15-P101),13,,,,,847289021919,.,,.,,D
6112,CM7011T-BED,,TWIN SIZE PLATFORM H/B +FB + RAIL (2CTN) (15-P101),7,,,,,4175,.,,.,,D
6113,CM7013C,,[DSC] CHEST  (11-P57),,,,,,847289022190,.,,.,,D
6141,CM7027BR-CK-BED,,"CAL.KING BED, BROWN FINISH (15-P90)",,,,,,4365,.,,.,,D
6142,CM7027BR-CK-FB/R,,"UPHOLSTERED CAL KING SIZE BED RAIL / FB, BROWN FINISH (15-P90)",,,,,,847289054917,.,,.,,D
6143,CM7027BR-CK-HB,,"UPHOLSTERED CAL KING SIZE BED HB/45 SLATS, BROWN FINISH (15-P90)",,,,,,847289054900,.,,.,,D
6144,CM7027BR-EK-BED,,"E.KING BED, BROWN FINISH (15-P90)",,,,,,4368,.,,.,,D
6145,CM7027BR-EK-FB/R,,"UPHOLSTERED EASTERN KING SIZE BED RAIL/FB, BROWN FINISH (15-P90)",,,,,,847289054894,.,,.,,D
6146,CM7027BR-EK-HB,,"UPHOLSTERED EASTERN KING SIZE BED HB / 45 SLATS, BROWN FINISH (15-P90)",,,,,,847289054887,.,,.,,D
6147,CM7027BR-Q-4PC,,"QUEEN BED + NS + DRESSER + MIRROR, BROWN (15-P90)",,,,,,4371,.,,.,,D
6148,CM7027BR-Q-5PC-2NS,,"QUEEN BED + 2 NS + DRESSER + MIRROR, BROWN (15-P90)",,,,,,4372,.,,.,,D
6149,CM7027BR-Q-5PC-CHEST,,"QUEEN BED + NS + DRESSER + MIRROR + CHEST, BROWN (15-P90)",,,,,,4373,.,,.,,D
6150,CM7027BR-Q-BED,,"QUEEN BED, BROWN FINISH (15-P90)",,,,,,4374,.,,.,,D
6151,CM7027BR-Q-FB/R,,"UPHOLSTERED QUEEN SIZE BED RAILS / FB, BROWN FINISH (15-P90)",,,,,,847289054931,.,,.,,D
6152,CM7027BR-Q-HB,,"UPHOLSTERED QUEEN SIZE BED HB/30PCS SLATS, BROWN FINISH (15-P90)",,,,,,847289054924,.,,.,,D
6159,CM7027Q-4PC,,QUEEN BED + DRESSER + MIRROR + 1NS (15-P91),,,,,,4393,.,,.,,D
6160,CM7027Q-5PC-2NS,,QUEEN BED + DRESSER + MIRROR + 2NS (15-P91),,,,,,4394,.,,.,,D
6161,CM7027Q-5PC-CHEST,,QUEEN BED + DRESSER + MIRROR + NS + CHEST (15-P91),,,,,,4395,.,,.,,D
6172,CM7028CK-FBR,,"LEMOORE VELVET PLATFORM CAL. KING SIZE BED FB & RAILS, BEIGE FINISH (16-P113)",20,,,,,847289045304,DSC,,.,,D
6173,CM7028CK-HB,,"LEMOORE VELVET PLATFORM CAL. KING SIZE BED HB, 15 PCS SLATS, BEIGE FINISH (16-P113)",,,,,,847289045298,DSC,,.,,D
6175,CM7028EK-FBR,,"LEMOORE VELVET PLATFORM E KING SIZE BED FB & RAILS, BEIGE FINISH (16-P113)",10,,,,,847289045281,DSC,,.,,D
6176,CM7028EK-HB,,"LEMOORE VELVET PLATFORM E KING SIZE BED HB, 15 PCS SLATS, BEIGE FINISH (16-P113)",,,,,,847289045274,DSC,,.,,D
6178,CM7028F-FBR,,"LEMOORE VELVET PLATFORM FULL  SIZE BED FB & RAILS, BEIGE FINISH (16-P113)",,,,,,847289045342,DSC,,.,,D
6179,CM7028F-HB,,"LEMOORE VELVET PLATFORM FULL  SIZE BED HB, 14 PCS SLATS, BEIGE FINISH (16-P113)",,,,,,847289045335,DSC,,.,,D
6180,CM7028Q-4PC,,QUEEN BED+DRESSER+MIRROR+1NS (16-P113),,,,,,4412,DSC,,.,,D
6181,CM7028Q-5PC-2NS,,QUEEN BED+DRESSER+MIRROR+2NS (16-P113),,,,,,4413,DSC,,.,,D
6182,CM7028Q-5PC-CHEST,,QUEEN BED+DRESSER+MIRROR+1NS+CHEST (16-P113),,,,,,4414,DSC,,.,,D
6184,CM7028Q-FBR,,"LEMOORE VELVET PLATFORM QUEEN SIZE BED FB & RAILS, BEIGE FINISH (16-P113)",38,,,,,847289045328,DSC,,.,,D
6185,CM7028Q-HB,,"LEMOORE VELVET PLATFORM QUEEN SIZE BED HB, 15 PCS SLATS, BEIGE FINISH (16-P113)",29,,,,,847289045311,DSC,,.,,D
6186,CM7028T-BED,,TWIN BED 2CTN (15-P107),,,,,,4418,.,,.,,D
6187,CM7028T-FBR,,"LEMOORE VELVET PLATFORM TWIN SIZE BED FB & RAILS, BEIGE FINISH (15-P107)",7,,,,,847289045366,.,,.,,D
6188,CM7028T-HB,,"LEMOORE VELVET PLATFORM TWIN SIZE BED HB, 14 PCS SLATS, BEIGE FINISH (15-P107)",,,,,,847289045359,.,,.,,D
6191,CM7031-4PC,,TWIN BED + TRUNDLE + DRESSER + MIRROR + 1NS (15-P147),,,,,,4443,.,,.,,D
6196,CM7032F-524-1,,FULL BED W/ DRAWERS =CL7032F-524-1(BOX 1 OF 2) (15-P147),,,,,,847289022732,.,,.,,D
6197,CM7032F-524-2,,FULL BED W/ DRAWERS =CL7032F-524-2 (BOX 2 OF 2) (15-P147),,,,,,847289022749,.,,.,,D
