1,Item,Page 17-18,Categories,Sub-Categories,Tag #1,Group Item,Group Components,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
5538,CM3433PT,443,Dining,Counter Height Tables,,,,Counter Ht. Table,Furniture of America HURLEY Contemporary Counter Ht. Table,VN,1,56.3,56.3,7,12.8,110.23,"54""L X 54""W X 36""H",Contemporary,,,,0,HURLEY,CM3433PT.jpg,Black,Modern Style,Triangular Table Top,Lower Shelf,"Solid Wood, Wood Veneer & Others",Black Finish,,,,,,"Featuring a distinctive triangular shaped table top with a black coating finish, this table set is perfect for any dining setting. Now, guests and family can enjoy a meal or have a conversation while seated around this modern style dining set. - -"
5541,CM3062PT-TABLE,444,Dining,Counter Height Tables,Glass Top Table,Y,"CM3062PT-1, CM3062PT-2",Glass Top Square Counter Ht. Table,Furniture of America Astoria II Contemporary Glass Top Square Counter Ht. Table,,2,0,0,0,13.1,183.9,"54""L X 54""W X 36""H",Contemporary,"Tempered Glass, Solid Wood, Wood Veneer & Others",,,0,Astoria II,CM3062PT.jpg,Dark Cherry,Contemporary Style,10mm Black Tempered Glass Top,"Solid Wood, Wood Veneer & Others",Dark Cherry Finish,,,,,,,Update your dining room with this dramatic contemporary dining set. The black tempered glass top looks great on top of the bold base finished in dark cherry. Leatherette counter height chairs and a stylish server complete this fabulous set. - -
5543,CM3311PT,444,Dining,Counter Height Tables,Square Table,,,Square Counter Ht. Table,Furniture of America Bay Side II Contemporary Square Counter Ht. Table,CN,1,57,57,6,11.3,127.6,"54""(36""+1X18""Leaf)L X 54""W X 36 1/4""H",Contemporary,"Tempered Glass, Solid Wood, Wood Veneer & Others",,,0,Bay Side II,CM3311PT.jpg,Espresso,Contemporary Style,18 Expandable Leaf,Sturdy Solid Wood Legs,"Solid Wood, Wood Veneer & Others",Espresso Finish,,,,,,"Perfect for a large modern kitchen, this square counter height table and eight chairs are finished in a modern espresso. Built with sturdy solid wood legs, each chair has padded upholstered seats and a tufted single button back. - -"
5547,CM3984PT,445,Dining,Counter Height Tables,Marble Top,,,Counter Ht. Table w/ Marble Top Insert,Furniture of America BRENT II Contemporary Counter Ht. Table w/ Marble Top Insert,VN,1,57.9,57.9,6.3,12.1,106.7,"54""L X 54""W X 36""H",Contemporary,"Faux Marble, Solid Wood, Wood Veneer & Others",,,0,BRENT II,CM3984PT.jpg,"Dark Cherry, Ivory",Modern Style,Display Panel Table Base,Cream Padded Side Chair,Available in 2 Table Types,Padded Leatherette Seat & Back,Dark Cherry Finish,,,,,Simplistic design carefully accented with just the touch of modern flare. Crafted with a sleek eye-catching table base and designed in two height sizes. - -
5548,CM3984W-PT,445,Dining,Counter Height Tables,,,,Counter Ht. Table,Furniture of America BRENT II Contemporary Counter Ht. Table,VN,1,57.9,57.9,6.3,12.1,106.7,"54""L X 54""W X 36""H",Contemporary,,,,0,BRENT II,CM3984W-PT.jpg,Dark Cherry,Modern Style,Display Panel Table Base,Cream Padded Side Chair,Available in 2 Table Types,Padded Leatherette Seat & Back,Dark Cherry Finish,,,,,Simplistic design carefully accented with just the touch of modern flare. Crafted with a sleek eye-catching table base and designed in two height sizes. - -
5550,CM3336PT,446,Dining,Counter Height Tables,Square Table,,,Square Counter Ht. Table,Furniture of America Edgewood II Transitional Square Counter Ht. Table,VN,1,54.9,54.9,6.3,10.9,102.3,"52""(36"" + 1 X 16""Leaf)L X 52""W X 37""H",Transitional,,,,0,Edgewood II,CM3336PT.jpg,Espresso,Transitional Style,16 Expandable Leaf,Optional Lazy Susan,"Solid Wood, Wood Veneer & Others",Espresso Finish,,,,,,A dark espresso finish and leatherette seating make this transitional counter height dining group an attractive addition to any home. The square table seats eight comfortably and features a 16 expandable leaf. Optional lazy susan available. - -
5552,CM3032PT,447,Dining,Counter Height Tables,Oval Table,,,Oval Counter Ht. Table,Furniture of America Metropolis Cottage Oval Counter Ht. Table,VN,1,45,45,9,10.5,112,"60""(42""+1X18""Leaf)L X 42""W X 36""H",Cottage,,,,0,Metropolis,CM3032PT.jpg,Espresso,Transitional Style,18 Expandable Leaf,"Solid Wood, Wood Veneer & Others",Cubic Display Base,Espresso Finish,,,,,,"Modern and contemporary, this deep espresso table features counter height chairs with padded microfiber seats which are great for the modern kitchen. Add the leaf to the round table and it easily converts to an oval piece for extra room. - -"
5554,CM3246PT,447,Dining,Counter Height Tables,Square Table,,,Square Counter Ht. Table,Furniture of America Eleanor Cottage Square Counter Ht. Table,VN,1,56.8,41,7.3,9.8,102,"54""(36""+1X18""Leaf)L X 54""W X 36""H",Cottage,,,,0,Eleanor,CM3246PT.jpg,Espresso,Transitional Style,18 Expandable Leaf,"Solid Wood, Wood Veneer & Others",Espresso Finish,,,,,,,"Create a sophisticated look in your dining room with this contemporary style square counter height table set. The table comes complete with an 18 leaf, straight square legs and is finished in dark espresso. The matching chairs have microfiber seats  and a window-pane back. -"
5555,CM3351PT-5PK,448,Dining,Counter Height Tables,,,,5 Pc. Counter Ht. Table Set,Furniture of America NORAH II Transitional 5 Pc. Counter Ht. Table Set,VN,1,44,44,13,14.6,155.1,"17""W X 20""D X 39""H (Seat Ht: 25 3/4"", Seat Dp: 16"")",Transitional,,,,0,NORAH II,CM3351PT-7PK.jpg,Brown Cherry,Transitional Style,Slat Back Chair,Tapered Legs,"Solid Wood, Wood Veneer, Others*",Brown Cherry Finish,,,,,,"Integrate luxury and style into your home with this dark and rich dining set. This tall counter height design comes finished in brown cherry, showcasing shades of darker wood accents and espresso leatherette seats for a rich and extravagant appeal. T he square table is durably supported upon wooden legs and offers a lower bottom shelf for storing utensils or napkins. -"
5556,CM3400PT-5PK,449,Dining,Counter Height Tables,,,,5 Pc. Counter Ht. Table Set,Furniture of America Weston I Transitional 5 Pc. Counter Ht. Table Set,VN,1,45.8,45.8,11,13.3,141,"42""L X 42""W X 36""H, 18""L X 21 1/2""W X 39""H (Seat Ht: 25 1/2"", Seat Dp: 17"")",Transitional,"Microfiber, Solid Wood, Wood Veneer & Others",100% Polyester,,0,Weston I,CM3400PT-5PK.jpg,Espresso,Transitional Style,Cross Back Chair,Espresso Finish,Padded Microfiber Seat,"Solid Wood, Wood Veneer & Others",,,,,,Update a small dining area with this modern counter height table and matching padded microfiber chairs. The table has simple square lines and the chair backs have a bold geometric design. Finished in espresso - -
5558,CM3916PT-5PK,449,Dining,Counter Height Tables,,,,5 Pc. Counter Ht. Table Set,Furniture of America HILLSVIEW II Transitional 5 Pc. Counter Ht. Table Set,VN,1,51.3,51.3,13,19.8,167.2,"Table: 48""L X 48""W X 36""H, Chair: 19""W X 23""D X 41""H (Seat Ht: 24 1/2"", Seat Dp: 18 1/2"")",Transitional,"Leatherette, Solid Wood, Wood Veneer & Others",,,0,HILLSVIEW II,CM3916PT-5PC.jpg,Brown Cherry,,,,,,,,,,,
5559,CM3025PT-5PK,450,Dining,Counter Height Tables,,,,5 Pc. Counter Ht. Table Set,Furniture of America Wrangler II Transitional 5 Pc. Counter Ht. Table Set,VN,1,44.7,44.7,11,12.7,141,"42""L X 42""W X 36""H, 18""W X 21""D X 39 1/2""H (Seat Ht: 24 3/4"", Seat Dp: 16 1/4"")",Transitional,"Leatherette, Solid Wood, Wood Veneer & Others",,,0,Wrangler II,CM3025PT-5PK.jpg,Espresso,Transitional Style,Slat Back Chair,Espresso Finish,Padded Leatherette Seat,"Solid Wood, Wood Veneer & Others",,,,,,Mission-inspired back and padded seats in leatherette are the hallmarks of this rather unassuming set. The dark espresso finish will contrast well with a light walls in a primarily transitional home - -
