1,Item,Page 17-18,Categories,Product Type,Feature,Group Components,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
6200,CM6848-CH,578,Living,Chair,,,Chair,Furniture of America KALLIE Contemporary Chair,CN,1,40,37,21,18,54.1,"38 1/4""L X 35 1/2""W X 33 1/2""H (Seat Ht: 19"", Seat Dp: 20 3/4"")",Contemporary,,,,0,KALLIE,CM6848-CH.jpg,Red,Contemporary Style,Chrome Legs,Flannelette Fabric,Track Arms,Solid Wood & Others*,Red,,,,,"Fill your home with uplifting vibes using this radiant red chair. A fun and romantic rich red color leaves a striking impression that enhances the simplistic structures. Complemented with angled chrome legs for some flair and pizzazz, this sofa set w ill add color and life into your living room. -"
6201,CM6848-LV,578,Living,Love Seat,,,Love Seat,Furniture of America KALLIE Contemporary Love Seat,CN,1,66,37,21,29.7,80.5,"64 1/4""L X 35 1/2""W X 33 1/2""H (Seat Ht: 19"", Seat Dp: 20 3/4"")",Contemporary,,,,0,KALLIE,CM6848.jpg,Red,Contemporary Style,Chrome Legs,Flannelette Fabric,Track Arms,Solid Wood & Others*,Red,,,,,"Fill your home with uplifting vibes using this radiant red love seat. A fun and romantic rich red color leaves a striking impression that enhances the simplistic structures. Complemented with angled chrome legs for some flair and pizzazz, this sofa s et will add color and life into your living room. -"
6202,CM6848-SF,578,Living,Sofa,,,Sofa,Furniture of America KALLIE Contemporary Sofa,CN,1,91,37,21,40.9,108.6,"89 3/4""L X 35 1/2""W X 33 1/2""H (Seat Ht: 19"", Seat Dp: 20 3/4"")",Contemporary,,,,0,KALLIE,CM6848.jpg,Red,Contemporary Style,Chrome Legs,Flannelette Fabric,Track Arms,Solid Wood & Others*,Red,,,,,"Fill your home with uplifting vibes using this radiant red sofa. A fun and romantic rich red color leaves a striking impression that enhances the simplistic structures. Complemented with angled chrome legs for some flair and pizzazz, this sofa set wi ll add color and life into your living room. -"
6205,CM6849-SECTIONAL,579,Living,Sectional,,"CM6849-1, CM6849-2",Sectional,Furniture of America KALLIE II Contemporary Sectional,,2,0,0,0,63.3,196,"109 1/2""L X 66 1/4""W X 33 1/2""H",Contemporary,,,,0,KALLIE II,CM6849.jpg,Red,Contemporary Style,Chrome Legs,Flannelette Fabric,Track Arms,Solid Wood & Others*,Red,,,,,"Flirty red tones with striking chrome legs create a sectional that leaves a vibrant and lively impression in any home. This L-shaped sectional is perfect for a home in need of a makeover. Upholstered in bright red flannelette fabric, this sectional i s sure to create a cheerful, lighthearted atmosphere! -"
6206,CM6850BG-LV,580,Living,Love Seat,,,"Love Seat, Beige","Furniture of America GLENDA Contemporary Love Seat, Beige",CN,1,35,30,26,15.8,82.5,"58""L X 32""W X 35""H (Seat Ht: 18 1/2"", Seat Dp: 21 1/2"")",Contemporary,,,,0,GLENDA,CM6850BG.jpg,Beige,Contemporary Style,Button Tufted Design,Chrome Legs,Contrasting Welt,Fabric,Solid Wood & Others*,Beige,,,,"Add a contemporary vibe by bringing in this sophisticatedloveseat . A contrasting welt trim tracing the edges of the slope track arms and coil spring filled cushions adds to the visual appeal of this set while tapering chrome legs provide plenty of  style and support. Prominent button tufts decorate the back fitted pillows for a final touch, certain to draw attention and praise. -"
6207,CM6850BG-SF,580,Living,Sofa,,,"Sofa, Beige","Furniture of America GLENDA Contemporary Sofa, Beige",CN,1,42.5,30,26,19.2,91.3,"72""L X 32""W X 35""H (Seat Ht: 18 1/2"", Seat Dp: 21 1/2"")",Contemporary,,,,0,GLENDA,CM6850BG.jpg,Beige,Contemporary Style,Button Tufted Design,Chrome Legs,Contrasting Welt,Fabric,Solid Wood & Others*,Beige,,,,"Add a contemporary vibe by bringing in this sophisticated sofa. A contrasting welt trim tracing the edges of the slope track arms and coil spring filled cushions adds to the visual appeal of this set while tapering chrome legs provide plenty of style  and support. Prominent button tufts decorate the back fitted pillows for a final touch, certain to draw attention and praise. -"
6208,CM6850BK-LV,581,Living,Love Seat,,,"Love Seat, Black","Furniture of America GLENDA Contemporary Love Seat, Black",CN,1,35,30,26,15.8,82.5,"58""L X 32""W X 35""H (Seat Ht: 18 1/2"", Seat Dp: 21 1/2"")",Contemporary,,,,0,GLENDA,CM6850BK.jpg,Black,Contemporary Style,Button Tufted Design,Chrome Legs,Contrasting Welt,Fabric,Solid Wood & Others*,Black,,,,"Add a contemporary vibe by bringing in this sophisticatedloveseat . A contrasting welt trim tracing the edges of the slope track arms and coil spring filled cushions adds to the visual appeal of this set while tapering chrome legs provide plenty of  style and support. Prominent button tufts decorate the back fitted pillows for a final touch, certain to draw attention and praise. -"
6209,CM6850BK-SF,581,Living,Sofa,,,"Sofa, Black","Furniture of America GLENDA Contemporary Sofa, Black",CN,1,42.5,30,26,19.2,91.3,"72""L X 32""W X 35""H (Seat Ht: 18 1/2"", Seat Dp: 21 1/2"")",Contemporary,,,,0,GLENDA,CM6850BK.jpg,Black,Contemporary Style,Button Tufted Design,Chrome Legs,Contrasting Welt,Fabric,Solid Wood & Others*,Black,,,,"Add a contemporary vibe by bringing in this sophisticated sofa. A contrasting welt trim tracing the edges of the slope track arms and coil spring filled cushions adds to the visual appeal of this set while tapering chrome legs provide plenty of style  and support. Prominent button tufts decorate the back fitted pillows for a final touch, certain to draw attention and praise. -"
6210,CM6850GY-LV,581,Living,Love Seat,,,"Love Seat, Gray","Furniture of America GLENDA Contemporary Love Seat, Gray",CN,1,35,30,26,15.8,82.5,"58""L X 32""W X 35""H (Seat Ht: 18 1/2"", Seat Dp: 21 1/2"")",Contemporary,,,,0,GLENDA,CM6850GY.jpg,Gray,Contemporary Style,Button Tufted Design,Chrome Legs,Contrasting Welt,Fabric,Solid Wood & Others*,Gray,,,,"Add a contemporary vibe by bringing in this sophisticatedloveseat . A contrasting welt trim tracing the edges of the slope track arms and coil spring filled cushions adds to the visual appeal of this set while tapering chrome legs provide plenty of  style and support. Prominent button tufts decorate the back fitted pillows for a final touch, certain to draw attention and praise. -"
6211,CM6850GY-SF,581,Living,Sofa,,,"Sofa, Gray","Furniture of America GLENDA Contemporary Sofa, Gray",CN,1,42.5,30,26,19.2,91.3,"72""L X 32""W X 35""H (Seat Ht: 18 1/2"", Seat Dp: 21 1/2"")",Contemporary,,,,0,GLENDA,CM6850GY.jpg,Gray,Contemporary Style,Button Tufted Design,Chrome Legs,Contrasting Welt,Fabric,Solid Wood & Others*,Gray,,,,"Add a contemporary vibe by bringing in this sophisticated sofa . A contrasting welt trim tracing the edges of the slope track arms and coil spring filled cushions adds to the visual appeal of this set while tapering chrome legs provide plenty of styl e and support. Prominent button tufts decorate the back fitted pillows for a final touch, certain to draw attention and praise. -"
